id,name,homepage_url,booking_url,phone,source_url,note
gc-18f9f355721d,라데나골프클럽,,,,,
gc-669d8ad13333,엘리시안 강촌컨트리클럽,,,,,
gc-5acca8d60a68,제이드팰리스 골프클럽,,,,,
gc-fa1419df8b1e,남춘천컨트리클럽,,,,,
gc-3526f59318a4,휘슬링락컨트리클럽,,,,,
gc-3ae54b5361c3,오너스골프클럽,,,,,
gc-9e436bbbf364,파가니카컨트리클럽,,,,,
gc-56c3be8c5a61,더플레이어스 골프클럽,,,,,
gc-6b8298356e4e,로드힐스골프클럽,,,,,
gc-a78a36b9d428,라비에벨컨트리클럽,,,,,
gc-d7a401a860d3,베어크리크 춘천,,,,,
gc-9a7cb8103191,오크밸리회원제골프장,,,,,
gc-7b4833dc4475,월송리 컨트리클럽,,,,,
gc-40bd08295048,Oak Hills컨트리클럽,,,,,
gc-3b9faaf01e87,성문안 컨트리클럽,,,,,
gc-920a66bac706,센추리21컨트리클럽,,,,,
gc-120fdf5098ca,센추리21컨트리클럽Ⅱ,,,,,
gc-d2426892b3a5,센추리21퍼블릭,,,,,
gc-52110494ceac,파크밸리골프클럽,,,,,
gc-3eb069c5fb2a,동서울레스피아,,,,,
gc-cbe46e8a03a2,인터불고원주골프클럽,,,,,
gc-aca146079a3b,오로라 골프 앤 리조트,,,,,
gc-076abf5ece38,샌드파인골프클럽,,,,,
gc-b768a2002431,메이플비치골프&리조트,,,,,
gc-5b16502994d3,O2리조트 골프장,,,,,
gc-e6edfdd39527,O2리조트 퍼블릭골프장,,,,,
gc-716535d8799a,설악프라자컨트리클럽,,,,,
gc-d4f47a219511,영랑호컨트리클럽,,,,,
gc-5d96ff075544,파인밸리컨트리클럽,,,,,
gc-788ff880fb4f,블랙밸리컨트리클럽,,,,,
gc-e9127c84ddf1,소노펠리체 컨트리클럽 비발디파크 웨스트,,,,,
gc-56adaea8c265,소노펠리체 컨트리클럽 비발디파크 마운틴,,,,,
gc-ae905ec6b25f,소노펠리체 컨트리클럽 비발디파크 이스트,,,,,
gc-3447dbe87ddc,비콘힐스골프클럽,,,,,
gc-d7beeda963dd,힐드로사이컨트리클럽,,,,,
gc-426fc575906a,클럽모우골프 &라이프스타일,,,,,
gc-8322ca96ec3b,세이지우드CC홍천,,,,,
gc-690b34d2b582,샤인데일골프&리조트,,,,,
gc-568fcaa60a5e,카스카디아 골프클럽,,,,,
gc-bbf51fd6cc91,웰리힐리컨트리클럽,,,,,
gc-ec8024eb7955,웰리힐리퍼블릭,,,,,
gc-e494f9e1ff69,동원썬밸리컨트리클럽,,,,,
gc-17aba5f4eb83,알프스대영컨트리클럽,,,,,
gc-43114c6913bc,벨라스톤컨트리클럽,,,,,
gc-535182f1f0fa,올데이 옥스필드,,,,,
gc-fac50b03683e,벨라45 오너스 컨트리클럽,,,,,
gc-a09581c58781,벨라45마스터스 컨트리클럽,,,,,
gc-908385d35939,동강시스타 골프장,,,,,
gc-11423b427515,용평리조트골프클럽,,,,,
gc-1e4b4a02117e,용평버치힐골프클럽,,,,,
gc-07cd3007c683,용평리조트대중골프장,,,,,
gc-98e23645d4c7,휘닉스 컨트리클럽,,,,,
gc-716264430902,태기산 나인CC,,,,,
gc-2b5762bfc60c,알펜시아컨트리클럽,,,,,
gc-88fd5807de80,알펜시아 700골프클럽,,,,,
gc-658a43bb77b8,하이원컨트리클럽,,,,,
gc-c97aebfdffe3,에콜리안정선골프장,,,,,
gc-57059262e040,한탄강컨트리클럽,,,,,
gc-af74a0cb154f,설악썬밸리컨트리클럽,,,,,
gc-da4ac7ff9f91,소노펠리체 컨트리클럽 델피노,,,,,
gc-4454a258c3a6,파인리즈컨트리클럽,,,,,
gc-318abdb864d5,설해원,,,,,
gc-67d0f65e6b2d,설해원더 레전드 코스,,,,,
gc-9a7ff16abcee,한원컨트리클럽,,,,,
gc-897c73dbf41b,양지파인골프클럽,,,,,
gc-38b838344176,수원컨트리클럽,,,,,
gc-4af8a2f8ed32,플라자CC,,,,,
gc-9da6f2a0f2d9,태광컨트리클럽(회원제),,,,,
