id,name,address,query,query_variant,attempted_queries,matched_query,source,candidate_title,candidate_address,candidate_phone,candidate_homepage_url,candidate_price_text,candidate_price_min,candidate_price_max,candidate_price_type,candidate_difficulty,candidate_difficulty_text,candidate_avg_score,candidate_reservation_prices_text,candidate_confidence,needs_review,reason,source_url,collected_at
gc-a80360466b97,1·2·3 골프장,경기도 고양시 덕양구 통일로 43-168,1·2·3 골프장,original,1·2·3 골프장 | 1·2·3 | 1·2·3 골프장 네이버 | 1·2·3 골프장 그린피 | 1·2·3 골프장 네이버 예약 | 1·2·3 골프장 고양시,1·2·3 골프장,naver_scrape,1·2·3 골프장,,031-681-9992,,,,,unknown,,,,,medium,true,"이름 유사·phone/homepage/price 후보 있음, 주소 확인 약함; phone candidates: 2; homepage not found; naver reservation price not found; naver reservation price not found — price fields left empty",https://search.naver.com/search.naver?where=nexearch&query=1%C2%B72%C2%B73%20%EA%B3%A8%ED%94%84%EC%9E%A5,2026-06-19T07:40:10.635Z
gc-13ed08c1c42b,360도 컨트리클럽,경기도 여주시 강천면 부평로 609,360도 컨트리클럽,original,360도 컨트리클럽 | 360도 CC | 360도 C.C | 360도 컨트리클럽 네이버 | 360도 컨트리클럽 그린피 | 360도 컨트리클럽 네이버 예약 | 360도 컨트리클럽 여주시,360도 컨트리클럽,naver_scrape,360도컨트리클럽,경기 여주시 강천면 부평리 산59-5,031-880-3600,http://www.360cc.co.kr/,,,,unknown,9.8,9.8/10,96,,high,true,"골프장명·주소(시/군/구) 일치, phone/homepage/price 후보 수집; homepage ambiguous; naver reservation price not found; difficulty: 9.8/10; naver reservation price not found — price fields left empty",https://search.naver.com/search.naver?where=nexearch&query=360%EB%8F%84%20%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,2026-06-19T08:34:01.826Z
gc-2fa514959418,강남300 컨트리클럽,경기도 광주시 새말길 353(목동),강남300 컨트리클럽,original,강남300 컨트리클럽 | 강남300 CC | 강남300 C.C | 강남300 컨트리클럽 네이버 | 강남300 컨트리클럽 그린피 | 강남300 컨트리클럽 네이버 예약 | 강남300 컨트리클럽 광주시,강남300 컨트리클럽,naver_scrape,강남300CC,경기 광주시 새말길 353,031-719-0300,https://www.instagram.com/kangnam300cc/,,,,unknown,3.7,3.7/10,91,,high,true,"골프장명·주소(시/군/구) 일치, phone/homepage/price 후보 수집; phone candidates: 2; homepage ambiguous; naver reservation price not found; difficulty: 3.7/10; naver reservation price not found — price fields left empty",https://search.naver.com/search.naver?where=nexearch&query=%EA%B0%95%EB%82%A8300%20%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,2026-06-19T08:12:02.618Z
gc-8fbc2ee961a0,고양컨트리클럽,경기도 고양시 덕양구 흥도로 304-23,고양컨트리클럽,original,고양컨트리클럽 | 고양CC | 고양C.C | 고양컨트리클럽 네이버 | 고양컨트리클럽 그린피 | 고양컨트리클럽 네이버 예약 | 고양컨트리클럽 고양시,고양컨트리클럽,naver_scrape,고양컨트리클럽,경기도 고양시 덕양구 흥도로 304-23 (도내동),031-960-7700,,,,,unknown,,,,,high,true,"골프장명·주소(시/군/구) 일치, phone/homepage/price 후보 수집; phone candidates: 2; homepage not found; naver reservation price not found; naver reservation price not found — price fields left empty",https://search.naver.com/search.naver?where=nexearch&query=%EA%B3%A0%EC%96%91%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,2026-06-19T07:40:04.962Z
gc-14e8979016a9,곤지암GC,경기도 광주시 도척면 도척윗로 280,곤지암GC,original,곤지암GC | 곤지암GC 네이버 | 곤지암GC 그린피 | 곤지암GC 네이버 예약 | 곤지암GC 광주시,곤지암GC,naver_scrape,곤지암 골프클럽,경기 광주시 도척면 도척윗로 280 곤지암 골프클럽,031-760-3556,https://www.konjiamgolfclub.co.kr/index.dev,,,,unknown,,,,,high,true,"골프장명·주소(시/군/구) 일치, phone/homepage/price 후보 수집; homepage ambiguous; naver reservation price not found; naver reservation price not found — price fields left empty",https://search.naver.com/search.naver?where=nexearch&query=%EA%B3%A4%EC%A7%80%EC%95%94GC,2026-06-19T08:12:14.540Z
gc-254a1c054bbe,골드컨트리클럽,경기도 용인시 기흥구 기흥단지로 398,골드컨트리클럽,original,골드컨트리클럽 | 골드CC | 골드C.C | 골드컨트리클럽 네이버 | 골드컨트리클럽 그린피 | 골드컨트리클럽 네이버 예약 | 골드컨트리클럽 용인시,골드컨트리클럽,naver_scrape,골드CC,경기 용인시 기흥구 기흥단지로 398,031-286-8111,http://www.gakorea.com/,"네이버 예약: 200,000원; 220,000원; 290,000원",200000,290000,reservation_price,4.1,4.1/10,91,"네이버 예약: 200,000원; 220,000원; 290,000원",high,true,"골프장명·주소(시/군/구) 일치, phone/homepage/price 후보 수집; phone candidates: 4; homepage ambiguous; reservation prices: 3; difficulty: 4.1/10",https://search.naver.com/search.naver?where=nexearch&query=%EA%B3%A8%EB%93%9C%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,2026-06-19T07:37:17.111Z
gc-152613ee89f3,골프클럽Q,경기도 안성시 죽산면 장계길 20-229,골프클럽Q,original,골프클럽Q | GCQ | G.CQ | 골프클럽Q 네이버 | 골프클럽Q 그린피 | 골프클럽Q 네이버 예약 | 골프클럽Q 안성시,골프클럽Q,naver_scrape,골프클럽 Q,경기 안성시 죽산면 장계길 20-229,031-8046-7000,http://www.golfclubq.com,"네이버 예약: 200,000원; 220,000원; 240,000원; 250,000원",200000,250000,reservation_price,8.9,8.9/10,94,"네이버 예약: 200,000원; 220,000원; 240,000원; 250,000원",high,true,"골프장명·주소(시/군/구) 일치, phone/homepage/price 후보 수집; homepage ambiguous; reservation prices: 4; difficulty: 8.9/10",https://search.naver.com/search.naver?where=nexearch&query=%EA%B3%A8%ED%94%84%ED%81%B4%EB%9F%BDQ,2026-06-19T08:14:53.470Z
gc-66517960c8f8,광릉CC(비회원제),경기도 남양주시 진접읍 팔야로 280,광릉CC(비회원제),original,광릉CC(비회원제) | 광릉CC(비회원제) 네이버 | 광릉CC(비회원제) 그린피 | 광릉CC(비회원제) 네이버 예약 | 광릉CC(비회원제) 남양주시,광릉CC(비회원제),naver_scrape,광릉CC(비회원),"남양주시 진접읍 팔야로 280 031-528-7001 (월~일) 07:00~19:00 휴무일 : X ㅇ시설유형 : 골프장업 ㅇ부지면적(㎡) : 139,847 ㅇ총면적(㎡) : 139,847 ㅇ이용요금 : 주말4500",031-528-7001,,,,,unknown,,,,,high,true,"골프장명·주소(시/군/구) 일치, phone/homepage/price 후보 수집; homepage not found; naver reservation price not found; naver reservation price not found — price fields left empty",https://search.naver.com/search.naver?where=nexearch&query=%EA%B4%91%EB%A6%89CC(%EB%B9%84%ED%9A%8C%EC%9B%90%EC%A0%9C),2026-06-19T07:41:38.180Z
gc-73a2a3982c35,광릉CC(회원제),경기도 남양주시 진접읍 팔야로 280,광릉CC(회원제),original,광릉CC(회원제) | 광릉CC | 광릉CC 네이버 | 광릉CC 그린피 | 광릉CC 네이버 예약 | 광릉CC 남양주시,광릉CC(회원제),naver_scrape,광릉CC(회원제),,031-528-7001,,,,,unknown,,,,,medium,true,"이름 유사·phone/homepage/price 후보 있음, 주소 확인 약함; homepage not found; naver reservation price not found; naver reservation price not found — price fields left empty",https://search.naver.com/search.naver?where=nexearch&query=%EA%B4%91%EB%A6%89CC(%ED%9A%8C%EC%9B%90%EC%A0%9C),2026-06-19T07:41:32.747Z
gc-0f218a599984,국가보훈부 88골프장,경기도 용인시 기흥구 석성로 521번길 169,국가보훈부 88골프장 네이버,naver,국가보훈부 88골프장 | 국가보훈부 88 | 국가보훈부 88골프장 네이버 | 국가보훈부 88골프장 그린피 | 국가보훈부 88골프장 네이버 예약 | 국가보훈부 88골프장 용인시,국가보훈부 88골프장 네이버,naver_scrape,open-maru.com›업체›국가보훈부88골프장,경기도 용인시 기흥구 석성로521번길 169,1811-1360,,,,,unknown,,,,,high,true,"골프장명·주소(시/군/구) 일치, phone/homepage/price 후보 수집; homepage not found; naver reservation price not found; naver reservation price not found — price fields left empty",https://search.naver.com/search.naver?where=nexearch&query=%EA%B5%AD%EA%B0%80%EB%B3%B4%ED%9B%88%EB%B6%80%2088%EA%B3%A8%ED%94%84%EC%9E%A5%20%EB%84%A4%EC%9D%B4%EB%B2%84,2026-06-19T07:37:23.251Z
