id,name,address,candidate_title,candidate_address,candidate_phone,candidate_homepage_url,candidate_price_text,candidate_price_min,candidate_price_max,candidate_price_type,candidate_difficulty,candidate_difficulty_text,candidate_avg_score,candidate_reservation_prices_text,source_url,confidence,approve_phone,approve_homepage,approve_price,approve_difficulty,approve_avg_score,review_phone,review_homepage_url,review_price_min,review_price_max,review_price_type,review_difficulty,review_avg_score,review_note,review_status,phone_status,homepage_status,price_status,difficulty_status,avg_score_status,reviewed_at,reviewer_note
gc-a80360466b97,1·2·3 골프장,경기도 고양시 덕양구 통일로 43-168,1·2·3 골프장,,031-681-9992,,,,,unknown,,,,,https://search.naver.com/search.naver?where=nexearch&query=1%C2%B72%C2%B73%20%EA%B3%A8%ED%94%84%EC%9E%A5,medium,,,,,,,,,,,,,,pending,pending,pending,pending,pending,pending,,
gc-13ed08c1c42b,360도 컨트리클럽,경기도 여주시 강천면 부평로 609,360도컨트리클럽,경기 여주시 강천면 부평리 산59-5,031-880-3600,http://www.360cc.co.kr/,,,,unknown,9.8,9.8/10,96,,https://search.naver.com/search.naver?where=nexearch&query=360%EB%8F%84%20%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,high,,,,,,,,,,,,,,pending,pending,pending,pending,pending,pending,,
gc-2fa514959418,강남300 컨트리클럽,경기도 광주시 새말길 353(목동),강남300CC,경기 광주시 새말길 353,031-719-0300,https://www.instagram.com/kangnam300cc/,,,,unknown,3.7,3.7/10,91,,https://search.naver.com/search.naver?where=nexearch&query=%EA%B0%95%EB%82%A8300%20%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,high,,,,,,,,,,,,,,pending,pending,pending,pending,pending,pending,,
gc-8fbc2ee961a0,고양컨트리클럽,경기도 고양시 덕양구 흥도로 304-23,고양컨트리클럽,경기도 고양시 덕양구 흥도로 304-23 (도내동),031-960-7700,,,,,unknown,,,,,https://search.naver.com/search.naver?where=nexearch&query=%EA%B3%A0%EC%96%91%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,high,,,,,,,,,,,,,,pending,pending,pending,pending,pending,pending,,
gc-14e8979016a9,곤지암GC,경기도 광주시 도척면 도척윗로 280,곤지암 골프클럽,경기 광주시 도척면 도척윗로 280 곤지암 골프클럽,031-760-3556,https://www.konjiamgolfclub.co.kr/index.dev,,,,unknown,,,,,https://search.naver.com/search.naver?where=nexearch&query=%EA%B3%A4%EC%A7%80%EC%95%94GC,high,,,,,,,,,,,,,,pending,pending,pending,pending,pending,pending,,
gc-254a1c054bbe,골드컨트리클럽,경기도 용인시 기흥구 기흥단지로 398,골드CC,경기 용인시 기흥구 기흥단지로 398,031-286-8111,http://www.gakorea.com/,"네이버 예약: 200,000원; 220,000원; 290,000원",200000,290000,reservation_price,4.1,4.1/10,91,"네이버 예약: 200,000원; 220,000원; 290,000원",https://search.naver.com/search.naver?where=nexearch&query=%EA%B3%A8%EB%93%9C%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,high,,,,,,,,,,,,,,pending,pending,pending,pending,pending,pending,,
gc-152613ee89f3,골프클럽Q,경기도 안성시 죽산면 장계길 20-229,골프클럽 Q,경기 안성시 죽산면 장계길 20-229,031-8046-7000,http://www.golfclubq.com,"네이버 예약: 200,000원; 220,000원; 240,000원; 250,000원",200000,250000,reservation_price,8.9,8.9/10,94,"네이버 예약: 200,000원; 220,000원; 240,000원; 250,000원",https://search.naver.com/search.naver?where=nexearch&query=%EA%B3%A8%ED%94%84%ED%81%B4%EB%9F%BDQ,high,,,,,,,,,,,,,,pending,pending,pending,pending,pending,pending,,
gc-66517960c8f8,광릉CC(비회원제),경기도 남양주시 진접읍 팔야로 280,광릉CC(비회원),"남양주시 진접읍 팔야로 280 031-528-7001 (월~일) 07:00~19:00 휴무일 : X ㅇ시설유형 : 골프장업 ㅇ부지면적(㎡) : 139,847 ㅇ총면적(㎡) : 139,847 ㅇ이용요금 : 주말4500",031-528-7001,,,,,unknown,,,,,https://search.naver.com/search.naver?where=nexearch&query=%EA%B4%91%EB%A6%89CC(%EB%B9%84%ED%9A%8C%EC%9B%90%EC%A0%9C),high,,,,,,,,,,,,,,pending,pending,pending,pending,pending,pending,,
gc-73a2a3982c35,광릉CC(회원제),경기도 남양주시 진접읍 팔야로 280,광릉CC(회원제),,031-528-7001,,,,,unknown,,,,,https://search.naver.com/search.naver?where=nexearch&query=%EA%B4%91%EB%A6%89CC(%ED%9A%8C%EC%9B%90%EC%A0%9C),medium,,,,,,,,,,,,,,pending,pending,pending,pending,pending,pending,,
gc-0f218a599984,국가보훈부 88골프장,경기도 용인시 기흥구 석성로 521번길 169,open-maru.com›업체›국가보훈부88골프장,경기도 용인시 기흥구 석성로521번길 169,1811-1360,,,,,unknown,,,,,https://search.naver.com/search.naver?where=nexearch&query=%EA%B5%AD%EA%B0%80%EB%B3%B4%ED%9B%88%EB%B6%80%2088%EA%B3%A8%ED%94%84%EC%9E%A5%20%EB%84%A4%EC%9D%B4%EB%B2%84,high,,,,,,,,,,,,,,pending,pending,pending,pending,pending,pending,,
gc-bed5fc0dc1f2,그린힐 컨트리클럽,경기도 광주시 곤지암읍 내선길 176,그린힐CC,경기 광주시 곤지암읍 내선길 176,031-799-8500,https://www.shinangolf.com/,,,,unknown,4.4,4.4/10,91,,https://search.naver.com/search.naver?where=nexearch&query=%EA%B7%B8%EB%A6%B0%ED%9E%90%20%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,high,,,,,,,,,,,,,,pending,pending,pending,pending,pending,pending,,
gc-748b687096d1,글렌로스 골프클럽,경기도 용인시 처인구 포곡읍 에버랜드로 562번길 69,글렌로스골프클럽,경기 용인시 처인구 포곡읍 에버랜드로562번길 69 글렌로스골프클럽,031-320-9601,https://www.benestgolf.com,"네이버 예약: 290,000원",290000,290000,reservation_price,2.2,2.2/10,89,"네이버 예약: 290,000원",https://search.naver.com/search.naver?where=nexearch&query=%EA%B8%80%EB%A0%8C%EB%A1%9C%EC%8A%A4%20%EA%B3%A8%ED%94%84%ED%81%B4%EB%9F%BD,high,,,,,,,,,,,,,,pending,pending,pending,pending,pending,pending,,
gc-3f6cace5bf14,금강컨트리클럽(대중),경기도 여주시 가남읍 여주남로 541,금강컨트리클럽(대중),"바로 여주에 위치한 금강cc입니다. 넓고 시원한 페어웨이, 뛰어난 접근성, 깔끔한 클럽하우스 시설까지 갖추고 있어 개인은... 금강cc 기본정보 구분 내용 골프장명 금강컨트리클럽 운영사 (주)금강레저 위치 경기도 여",,,,,,unknown,,,,,https://search.naver.com/search.naver?where=nexearch&query=%EA%B8%88%EA%B0%95%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD(%EB%8C%80%EC%A4%91),medium,,,,,,,,,,,,,,pending,pending,pending,pending,pending,pending,,
