id,name,change_name_to,address,phone,homepage_url,price_text,price_min,price_max,price_type,difficulty,avg_score,source_url,confidence,needs_check,note,teescanner_matched_title,teescanner_matched_region,teescanner_weekday_price_min,teescanner_weekday_price_max,teescanner_weekend_price_min,teescanner_weekend_price_max,teescanner_overall_price_min,teescanner_overall_price_max,teescanner_success_day_count,teescanner_no_price_day_count,teescanner_manual_review_count,teescanner_accept_price_day_count,teescanner_price_scope_summary,teescanner_review_action,teescanner_detail_url,teescanner_last_collected_at,teescanner_source_name
gc-9b37cfc9caa8,뉴스프링빌골프장(대중형),뉴스프링빌CC,경기도 이천시 모가면 사실로 527번길 158,031-630-7500,http://www.newspringvillecc.co.kr/,"참고 요금 평일 160,000원~190,000원 / 주말 200,000원~280,000원",160000,280000,reservation_reference,1.7,89.2,https://search.naver.com/search.naver?where=nexearch&query=%EB%89%B4%EC%8A%A4%ED%94%84%EB%A7%81%EB%B9%8C%EA%B3%A8%ED%94%84%EC%9E%A5(%EB%8C%80%EC%A4%91%ED%98%95)%20%EA%B7%B8%EB%A6%B0%ED%94%BC,low,y,네이버 예약/홈페이지 참고 요금으로 보강함. 날짜/시간/예약 조건에 따라 요금이 달라질 수 있음.,,,160000,190000,200000,280000,160000,280000,2,0,0,2,manual_entry,accept_price,https://www.teescanner.com/booking/detail?tab=teetime&golfclub_seq=273&roundDay=2026-06-29&entry_path=SC,2026-06-26T11:33:51.186Z,teescanner
gc-1f14d0ca89b4,가산CC,가산CC,경상북도 칠곡군 가산면 학하2길 54-171,054-970-3712,https://www.gasancc.com,"참고 요금 평일 80,000원~90,000원",80000,90000,reservation_reference,9.6,95.7,https://search.naver.com/search.naver?where=nexearch&query=%EB%A7%88%EC%9D%B4%EB%8B%A4%EC%8A%A4%20%EA%B5%AC%EB%AF%B8%20%EA%B3%A8%ED%94%84%EC%95%84%EC%B9%B4%EB%8D%B0%EB%AF%B8,low,y,네이버 예약/홈페이지 참고 요금으로 보강함. 날짜/시간/예약 조건에 따라 요금이 달라질 수 있음.,,,80000,90000,,,80000,90000,1,0,0,1,manual_entry,accept_price,https://www.teescanner.com/booking/detail?tab=teetime&golfclub_seq=114257&roundDay=2026-06-29&entry_path=SC,2026-06-26T11:33:51.186Z,teescanner
gc-a862e6d054f2,빅토리아일반대중골프장,빅토리아GC,경기도 여주시 가남읍 송삼로 191,031-883-0111,http://www.victoriagc.co.kr/,"참고 요금 평일 60,000원~79,000원 / 주말 113,000원",60000,113000,reservation_reference,5.7,92.4,https://search.naver.com/search.naver?where=nexearch&query=%EB%B9%85%ED%86%A0%EB%A6%AC%EC%95%84%EC%9D%BC%EB%B0%98%EB%8C%80%EC%A4%91%EA%B3%A8%ED%94%84%EC%9E%A5%20%EC%97%AC%EC%A3%BC%EC%8B%9C,low,y,TeeScanner 예약가 기준으로 보강함. 날짜/시간/예약 채널에 따라 요금이 달라질 수 있음. 네이버 예약/홈페이지 참고 요금으로 보강함. 날짜/시간/예약 조건에 따라 요금이 달라질 수 있음.,빅토리아(P),경기남부 > 여주,60000,79000,113000,113000,60000,113000,2,0,0,2,loaded_slots,accept_price,https://www.teescanner.com/booking/detail?tab=teetime&golfclub_seq=202&roundDay=2026-06-29&entry_path=SC,2026-06-24T13:38:44.399Z,teescanner
gc-15dd2e00d6c7,오펠골프클럽,군위오펠GC,대구광역시 군위군 산성면 부흥로 227,054-380-8000,https://www.ophelgc.com/,"참고 요금 평일 80,000원~120,000원",80000,120000,reservation_reference,8.4,93.9,https://search.naver.com/search.naver?where=nexearch&query=%EC%98%A4%ED%8E%A0%EA%B3%A8%ED%94%84%ED%81%B4%EB%9F%BD,low,y,네이버 예약/홈페이지 참고 요금으로 보강함. 날짜/시간/예약 조건에 따라 요금이 달라질 수 있음.,,,80000,120000,,,80000,120000,1,0,0,1,manual_entry,accept_price,https://www.teescanner.com/booking/detail?tab=teetime&golfclub_seq=520&roundDay=2026-06-29&entry_path=SC,2026-06-26T11:33:51.186Z,teescanner
gc-9a7cb8103191,오크밸리회원제골프장,오크밸리CC,원주시 지정면 오크밸리1길 66,1588-7676,https://ipark-golf.com/oakvalley/course,"참고 요금 평일 170,000원~180,000원 / 주말 260,000원",170000,260000,reservation_reference,7.4,93.2,https://search.naver.com/search.naver?where=nexearch&query=%EC%98%A4%ED%81%AC%EB%B0%B8%EB%A6%AC%ED%9A%8C%EC%9B%90%EC%A0%9C,high,y,네이버 예약/홈페이지 참고 요금으로 보강함. 날짜/시간/예약 조건에 따라 요금이 달라질 수 있음.,,,170000,180000,260000,260000,170000,260000,2,0,0,2,manual_entry,accept_price,,2026-06-26T11:33:51.189Z,teescanner
gc-7b4833dc4475,월송리 컨트리클럽,월송리CC,원주시 지정면 오크밸리2길 250,1588-7676,https://ipark-golf.com/wolsongri/course,"참고 요금 평일 120,000원~130,000원",120000,130000,reservation_reference,9,94.5,https://search.naver.com/search.naver?where=nexearch&query=%EC%9B%94%EC%86%A1%EB%A6%AC%20%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,high,y,네이버 예약/홈페이지 참고 요금으로 보강함. 날짜/시간/예약 조건에 따라 요금이 달라질 수 있음.,,,120000,130000,,,120000,130000,1,0,0,1,manual_entry,accept_price,,2026-06-26T11:33:51.189Z,teescanner
gc-40bd08295048,Oak Hills컨트리클럽,오크힐스CC,강원 원주시 지정면 오크밸리2길 132,1588-7676,https://ipark-golf.com/oakhills/course,"참고 요금 평일 140,000원~170,000원 / 주말 210,000원~220,000원",140000,220000,reservation_reference,4.7,91.9,https://search.naver.com/search.naver?where=nexearch&query=Oak%20Hills%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,medium,y,TeeScanner 예약가 기준으로 보강함. 날짜/시간/예약 채널에 따라 요금이 달라질 수 있음. 네이버 예약/홈페이지 참고 요금으로 보강함. 날짜/시간/예약 조건에 따라 요금이 달라질 수 있음.,오크힐스,강원서부 > 원주,140000,170000,210000,220000,140000,220000,2,0,0,2,complete_day_slots,accept_price,https://www.teescanner.com/booking/detail?tab=teetime&golfclub_seq=117&roundDay=2026-06-29&entry_path=SC,2026-06-24T13:40:43.744Z,teescanner
gc-120fdf5098ca,센추리21컨트리클럽Ⅱ,센추리21CC,원주시 문막읍 궁말길 193,033-733-1000,http://www.century21cc.co.kr/,"참고 요금 평일 90,000원~105,000원 / 주말 110,000원~160,000원",90000,160000,reservation_reference,2.4,90.2,https://search.naver.com/search.naver?where=nexearch&query=%EC%84%BC%EC%B6%94%EB%A6%AC21%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD%E2%85%A1,high,y,네이버 예약/홈페이지 참고 요금으로 보강함. 날짜/시간/예약 조건에 따라 요금이 달라질 수 있음.,,,90000,105000,110000,160000,90000,160000,2,0,0,2,manual_entry,accept_price,https://www.teescanner.com/booking/detail?tab=teetime&golfclub_seq=183&roundDay=2026-07-21&entry_path=SC,2026-06-26T11:33:51.188Z,teescanner
gc-d2426892b3a5,센추리21퍼블릭,센추리21CC(퍼블릭),원주시 문막읍 궁말길 193,033-733-2113,https://www.century21cc.co.kr/,"참고 요금 평일 60,000원~80,000원 / 주말 100,000원~125,000원",60000,125000,reservation_reference,2.4,90.2,https://search.naver.com/search.naver?where=nexearch&query=%EC%84%BC%EC%B6%94%EB%A6%AC21%ED%8D%BC%EB%B8%94%EB%A6%AD%20%EA%B7%B8%EB%A6%B0%ED%94%BC,high,y,네이버 예약/홈페이지 참고 요금으로 보강함. 날짜/시간/예약 조건에 따라 요금이 달라질 수 있음.,,,60000,80000,100000,125000,60000,125000,2,0,0,2,manual_entry,accept_price,https://www.teescanner.com/booking/detail?tab=teetime&golfclub_seq=184&roundDay=2026-06-28&entry_path=SC,2026-06-26T11:33:51.189Z,teescanner
gc-e9127c84ddf1,소노펠리체 컨트리클럽 비발디파크 웨스트,소노펠리체CC 비발디파크 WEST,홍천군 서면 한치골길 200,1644-0063,http://www.sonofelicecc.com/vc,"참고 요금 평일 130,000원~150,000원",130000,150000,reservation_reference,8.8,94.3,https://search.naver.com/search.naver?where=nexearch&query=%EC%86%8C%EB%85%B8%ED%8E%A0%EB%A6%AC%EC%B2%B4%20%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD%20%EB%B9%84%EB%B0%9C%EB%94%94%ED%8C%8C%ED%81%AC%20%EC%9B%A8%EC%8A%A4%ED%8A%B8,high,y,네이버 예약/홈페이지 참고 요금으로 보강함. 날짜/시간/예약 조건에 따라 요금이 달라질 수 있음.,,,130000,150000,,,130000,150000,1,0,0,1,manual_entry,accept_price,,2026-06-26T11:33:51.189Z,teescanner
