id,name,change_name_to,address,phone,homepage_url,price_text,price_min,price_max,price_type,difficulty,avg_score,source_url,confidence,needs_check,note
gc-9b37cfc9caa8,뉴스프링빌골프장(대중형),뉴스프링빌CC,경기도 이천시 모가면 사실로 527번길 158,031-630-7500,http://www.newspringvillecc.co.kr/,,,,unknown,1.7,89.2,https://search.naver.com/search.naver?where=nexearch&query=%EB%89%B4%EC%8A%A4%ED%94%84%EB%A7%81%EB%B9%8C%EA%B3%A8%ED%94%84%EC%9E%A5(%EB%8C%80%EC%A4%91%ED%98%95)%20%EA%B7%B8%EB%A6%B0%ED%94%BC,low,y,avg_score diff kept existing (89.2 vs scraped 94.7); difficulty diff kept existing (1.7 vs scraped 9.2)
gc-1f14d0ca89b4,가산CC,가산CC,경상북도 칠곡군 가산면 학하2길 54-171,054-970-3712,https://www.gasancc.com,,,,unknown,9.6,95.7,https://search.naver.com/search.naver?where=nexearch&query=%EB%A7%88%EC%9D%B4%EB%8B%A4%EC%8A%A4%20%EA%B5%AC%EB%AF%B8%20%EA%B3%A8%ED%94%84%EC%95%84%EC%B9%B4%EB%8D%B0%EB%AF%B8,low,y,phone diff kept existing (054-970-3712 vs scraped 054-970-3700)
gc-a862e6d054f2,빅토리아일반대중골프장,빅토리아GC,경기도 여주시 가남읍 송삼로 191,031-883-0111,http://www.victoriagc.co.kr/,,,,reservation_price,5.7,92.4,https://search.naver.com/search.naver?where=nexearch&query=%EB%B9%85%ED%86%A0%EB%A6%AC%EC%95%84%EC%9D%BC%EB%B0%98%EB%8C%80%EC%A4%91%EA%B3%A8%ED%94%84%EC%9E%A5%20%EC%97%AC%EC%A3%BC%EC%8B%9C,low,y,
gc-15dd2e00d6c7,오펠골프클럽,군위오펠GC,대구광역시 군위군 산성면 부흥로 227,054-380-8000,https://www.ophelgc.com/,,,,reservation_price,8.4,93.9,https://search.naver.com/search.naver?where=nexearch&query=%EC%98%A4%ED%8E%A0%EA%B3%A8%ED%94%84%ED%81%B4%EB%9F%BD,low,y,
gc-9a7cb8103191,오크밸리회원제골프장,오크밸리CC,원주시 지정면 오크밸리1길 66,1588-7676,https://ipark-golf.com/oakvalley/course,,,,unknown,7.4,93.2,https://search.naver.com/search.naver?where=nexearch&query=%EC%98%A4%ED%81%AC%EB%B0%B8%EB%A6%AC%ED%9A%8C%EC%9B%90%EC%A0%9C,high,y,
gc-7b4833dc4475,월송리 컨트리클럽,월송리CC,원주시 지정면 오크밸리2길 250,1588-7676,https://ipark-golf.com/wolsongri/course,,,,unknown,9,94.5,https://search.naver.com/search.naver?where=nexearch&query=%EC%9B%94%EC%86%A1%EB%A6%AC%20%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,high,y,
gc-40bd08295048,Oak Hills컨트리클럽,오크힐스CC,강원 원주시 지정면 오크밸리2길 132,1588-7676,https://ipark-golf.com/oakhills/course,,,,unknown,4.7,91.9,https://search.naver.com/search.naver?where=nexearch&query=Oak%20Hills%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,medium,y,
gc-120fdf5098ca,센추리21컨트리클럽Ⅱ,센추리21CC,원주시 문막읍 궁말길 193,033-733-1000,http://www.century21cc.co.kr/,,,,unknown,2.4,90.2,https://search.naver.com/search.naver?where=nexearch&query=%EC%84%BC%EC%B6%94%EB%A6%AC21%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD%E2%85%A1,high,y,
gc-d2426892b3a5,센추리21퍼블릭,센추리21CC(퍼블릭),원주시 문막읍 궁말길 193,033-733-2113,https://www.century21cc.co.kr/,,,,unknown,2.4,90.2,https://search.naver.com/search.naver?where=nexearch&query=%EC%84%BC%EC%B6%94%EB%A6%AC21%ED%8D%BC%EB%B8%94%EB%A6%AD%20%EA%B7%B8%EB%A6%B0%ED%94%BC,high,y,phone diff kept existing (033-733-2113 vs scraped 033-733-1000); homepage_url diff kept existing (https://www.century21cc.co.kr/ vs scraped http://www.century21cc.co.kr/)
gc-e9127c84ddf1,소노펠리체 컨트리클럽 비발디파크 웨스트,소노펠리체CC 비발디파크 WEST,홍천군 서면 한치골길 200,1644-0063,http://www.sonofelicecc.com/vc,,,,unknown,8.8,94.3,https://search.naver.com/search.naver?where=nexearch&query=%EC%86%8C%EB%85%B8%ED%8E%A0%EB%A6%AC%EC%B2%B4%20%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD%20%EB%B9%84%EB%B0%9C%EB%94%94%ED%8C%8C%ED%81%AC%20%EC%9B%A8%EC%8A%A4%ED%8A%B8,high,y,
gc-56adaea8c265,소노펠리체 컨트리클럽 비발디파크 마운틴,소노펠리체CC 비발디파크 MOUNTAIN,홍천군 서면 한치골길 264,1644-0063,http://www.sonofelicecc.com/vp,,,,unknown,3.7,91.2,https://search.naver.com/search.naver?where=nexearch&query=%EC%86%8C%EB%85%B8%ED%8E%A0%EB%A6%AC%EC%B2%B4%20%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD%20%EB%B9%84%EB%B0%9C%EB%94%94%ED%8C%8C%ED%81%AC%20%EB%A7%88%EC%9A%B4%ED%8B%B4,medium,y,
