id,name,change_name_to,region,city,address,latitude,longitude,courseType,holes,hole_count,is_public,membership_type,phone,website,difficulty,price_min,price_max,price_text,price_type,price_source,weekday_price_min,weekday_price_max,weekend_price_min,weekend_price_max,teescanner_used_search_term,teescanner_matched_title,candidate_region,candidate_subregion,teescanner_match_status,teescanner_review_action,teescanner_review_reason,suggested_change_name_to,needs_price_review,seo_aliases,search_keywords,tags,source,updatedAt
gc-9b37cfc9caa8,뉴스프링빌골프장(대중형),뉴스프링빌CC,경기,이천시,경기도 이천시 모가면 사실로 527번길 158,37.1542685904751,127.431405094081,대중제,9,9,,대중제,031-630-7500,http://www.newspringvillecc.co.kr/,1.7,,,,,,,,,,,,,,,weekday,,,false,뉴스프링빌CC|뉴스프링빌GC|뉴스프링빌컨트리클럽|뉴스프링빌골프클럽|뉴스프링빌골프장,뉴스프링빌CC 뉴스프링빌GC 뉴스프링빌컨트리클럽 뉴스프링빌골프클럽 뉴스프링빌골프장,{},public_data,2026-06-18T01:00:04.006Z
gc-1f14d0ca89b4,가산CC,가산CC,경상,칠곡군,경상북도 칠곡군 가산면 학하2길 54-171,36.0833008135628,128.469279378639,대중제,9,9,,대중제,054-970-3712,https://www.gasancc.com,9.6,,,,,,,,,,가산,가산(P)(구,경상북부,칠곡,ambiguous,manual_review,ambiguous_match,,true,가산CC|가산GC|가산컨트리클럽|가산골프클럽|가산골프장,가산CC 가산GC 가산컨트리클럽 가산골프클럽 가산골프장,{},public_data,2026-06-18T01:00:04.006Z
gc-a862e6d054f2,빅토리아일반대중골프장,빅토리아GC,경기,여주시,경기도 여주시 가남읍 송삼로 191,37.180823064092,127.63100021793,대중제,9,9,,대중제,031-883-0111,http://www.victoriagc.co.kr/,5.7,60000,113000,티스캐너 예약가 기준 평일 60000~79000원 / 주말 113000원,reservation_reference,teescanner,60000,79000,113000,113000,빅토리아,빅토리아(P),경기남부,여주,,accept_price,,,false,빅토리아GC|빅토리아CC|빅토리아컨트리클럽|빅토리아골프클럽|빅토리아골프장,빅토리아GC 빅토리아CC 빅토리아컨트리클럽 빅토리아골프클럽 빅토리아골프장,{},public_data,2026-06-18T01:00:04.006Z
gc-15dd2e00d6c7,오펠골프클럽,군위오펠GC,경상,군위군,대구광역시 군위군 산성면 부흥로 227,36.1122625509396,128.679793042412,대중제,18,18,,대중제,054-380-8000,https://www.ophelgc.com/,8.4,,,,,,,,,,군위오펠,군위오펠(P),경상북부,군위,ambiguous,manual_review,ambiguous_match,,true,군위오펠GC|군위오펠CC|군위오펠컨트리클럽|군위오펠골프클럽|군위오펠골프장,군위오펠GC 군위오펠CC 군위오펠컨트리클럽 군위오펠골프클럽 군위오펠골프장,{},public_data,2026-06-18T01:00:04.006Z
gc-9a7cb8103191,오크밸리회원제골프장,오크밸리CC,강원,원주시,원주시 지정면 오크밸리1길 66,37.4343240018003,127.817512733666,회원제,36,36,,회원제,1588-7676,https://ipark-golf.com/oakvalley/course,7.4,,,,,,,,,,오크밸리,오크밸리,강원서부,원주,ambiguous,manual_review,ambiguous_match,,true,오크밸리CC|오크밸리GC|오크밸리컨트리클럽|오크밸리골프클럽|오크밸리골프장,오크밸리CC 오크밸리GC 오크밸리컨트리클럽 오크밸리골프클럽 오크밸리골프장,{},public_data,2026-06-18T01:00:04.006Z
gc-7b4833dc4475,월송리 컨트리클럽,월송리CC,강원,원주시,원주시 지정면 오크밸리2길 250,37.413907787106,127.822367179311,대중제,18,18,,대중제,1588-7676,https://ipark-golf.com/wolsongri/course,9,,,,,,,,,,월송리,월송리(P),강원서부,원주,ambiguous,manual_review,ambiguous_match,,true,월송리CC|월송리GC|월송리컨트리클럽|월송리골프클럽|월송리골프장,월송리CC 월송리GC 월송리컨트리클럽 월송리골프클럽 월송리골프장,{},public_data,2026-06-18T01:00:04.006Z
gc-40bd08295048,Oak Hills컨트리클럽,오크힐스CC,강원,원주시,강원 원주시 지정면 오크밸리2길 132,37.4078166869562,127.808904182453,회원제,18,18,,회원제,1588-7676,https://ipark-golf.com/oakhills/course,4.7,140000,220000,티스캐너 예약가 기준 평일 140000~170000원 / 주말 210000~220000원,reservation_reference,teescanner,140000,170000,210000,220000,오크힐스,오크힐스,강원서부,원주,,accept_price,,,false,오크힐스CC|오크힐스GC|오크힐스컨트리클럽|오크힐스골프클럽|오크힐스골프장,오크힐스CC 오크힐스GC 오크힐스컨트리클럽 오크힐스골프클럽 오크힐스골프장,{},public_data,2026-06-18T01:00:04.006Z
gc-120fdf5098ca,센추리21컨트리클럽Ⅱ,센추리21CC,강원,원주시,원주시 문막읍 궁말길 193,37.2814501148934,127.842416839704,대중제,18,18,,대중제,033-733-1000,http://www.century21cc.co.kr/,2.4,,,,,,,,,,센추리21,센추리,강원서부,원주,ambiguous,manual_review,multiple similar candidates,,true,센추리21CC|센추리21GC|센추리21컨트리클럽|센추리21골프클럽|센추리21골프장,센추리21CC 센추리21GC 센추리21컨트리클럽 센추리21골프클럽 센추리21골프장,{},public_data,2026-06-18T01:00:04.006Z
gc-d2426892b3a5,센추리21퍼블릭,센추리21CC(퍼블릭),강원,원주시,원주시 문막읍 궁말길 193,37.2814501148934,127.842416839704,대중제,9,9,,대중제,033-733-2113,https://www.century21cc.co.kr/,2.4,,,,,,,,,,센추리21,센추리,강원서부,원주,ambiguous,manual_review,multiple similar candidates,,true,센추리21CC|센추리21GC|센추리21컨트리클럽|센추리21골프클럽|센추리21골프장,센추리21CC 센추리21GC 센추리21컨트리클럽 센추리21골프클럽 센추리21골프장,{},public_data,2026-06-18T01:00:04.006Z
gc-e9127c84ddf1,소노펠리체 컨트리클럽 비발디파크 웨스트,소노펠리체CC 비발디파크 WEST,강원,홍천군,홍천군 서면 한치골길 200,37.6386558071944,127.673647946883,대중제,18,18,,대중제,1644-0063,http://www.sonofelicecc.com/vc,8.8,,,,,,,,,,소노펠리체 컨트리클럽 비발디파크 웨스트,,,,,manual_review,,,true,소노펠리체CC 비발디파크 WEST|소노펠리체CC 비발디파크 WESTCC|소노펠리체CC 비발디파크 WESTGC|소노펠리체CC 비발디파크 WEST컨트리클럽|소노펠리체CC 비발디파크 WEST골프클럽|소노펠리체CC 비발디파크 WEST골프장,소노펠리체CC 비발디파크 WEST 소노펠리체CC 비발디파크 WESTCC 소노펠리체CC 비발디파크 WESTGC 소노펠리체CC 비발디파크 WEST컨트리클럽 소노펠리체CC 비발디파크 WEST골프클럽 소노펠리체CC 비발디파크 WEST골프장,{},public_data,2026-06-18T01:00:04.006Z
