id,name,change_name_to,address,search_strategy,search_query,research_query,matched_title,matched_category,matched_address,matched_place_url,confidence,needs_check,mismatch_reason,scraped_phone,scraped_homepage_url,scraped_avg_score,scraped_difficulty,scraped_difficulty_text,reservation_available,scraped_price_text,scraped_price_min,scraped_price_max,scraped_price_type,scraped_price_checked_at,note
gc-9b37cfc9caa8,뉴스프링빌골프장(대중형),뉴스프링빌CC,경기도 이천시 모가면 사실로 527번길 158,address_place,경기도 이천시 모가면 사실로 527번길 158,,뉴스프링빌 컨트리클럽(P),퍼블릭골프장,경기 이천시 모가면 사실로527번길 158,"https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%9D%B4%EC%B2%9C%EC%8B%9C%20%EB%AA%A8%EA%B0%80%EB%A9%B4%20%EC%82%AC%EC%8B%A4%EB%A1%9C%20527%EB%B2%88%EA%B8%B8%20158/place/1061262951?c=15.00,0,0,0,dh&isCorrectAnswer=true&placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202606201751&locale=ko&svcName=map_pcv5&searchText=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%9D%B4%EC%B2%9C%EC%8B%9C%20%EB%AA%A8%EA%B0%80%EB%A9%B4%20%EC%82%AC%EC%8B%A4%EB%A1%9C%20527%EB%B2%88%EA%B8%B8%20158",high,n,,,,94.7,9.2,9.2/10,n,,,,,,candidates: 뉴스프링빌 컨트리클럽(P)/퍼블릭골프장 | 세바스챤 뉴스프링빌CC점/골프웨어 | 동승골프앤리조트/기업 | 뉴스프링빌CC 전기차충전소/전기차충전소
gc-1f14d0ca89b4,가산CC,가산CC,경상북도 칠곡군 가산면 학하2길 54-171,address_place,경상북도 칠곡군 가산면 학하2길 54-171,,가산CC,퍼블릭골프장,경북 칠곡군 가산면 학하2길 54-171 가산CC,"https://map.naver.com/p/search/%EA%B2%BD%EC%83%81%EB%B6%81%EB%8F%84%20%EC%B9%A0%EA%B3%A1%EA%B5%B0%20%EA%B0%80%EC%82%B0%EB%A9%B4%20%ED%95%99%ED%95%982%EA%B8%B8%2054-171/place/2041037057?c=15.00,0,0,0,dh&isCorrectAnswer=true&placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202606201802&locale=ko&svcName=map_pcv5&searchText=%EA%B2%BD%EC%83%81%EB%B6%81%EB%8F%84%20%EC%B9%A0%EA%B3%A1%EA%B5%B0%20%EA%B0%80%EC%82%B0%EB%A9%B4%20%ED%95%99%ED%95%982%EA%B8%B8%2054-171",high,n,,054-970-3700,https://www.gasancc.com,95.7,9.6,9.6/10,y,,,,,2026-06-20T09:02:40.417Z,candidates: 가산CC/퍼블릭골프장 | 카페베네 가산컨트리클럽지점/카페 | 마이다스구미골프아카데미주차장/주차장 | 가산CC프로샵/골프용품
gc-a862e6d054f2,빅토리아일반대중골프장,빅토리아GC,경기도 여주시 가남읍 송삼로 191,address_place,경기도 여주시 가남읍 송삼로 191,,빅토리아 골프클럽,퍼블릭골프장,경기 여주시 가남읍 송삼로 191,"https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%97%AC%EC%A3%BC%EC%8B%9C%20%EA%B0%80%EB%82%A8%EC%9D%8D%20%EC%86%A1%EC%82%BC%EB%A1%9C%20191/place/38520438?c=15.00,0,0,0,dh&isCorrectAnswer=true&placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202606201753&locale=ko&svcName=map_pcv5&searchText=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%97%AC%EC%A3%BC%EC%8B%9C%20%EA%B0%80%EB%82%A8%EC%9D%8D%20%EC%86%A1%EC%82%BC%EB%A1%9C%20191",high,n,,031-883-0111,http://www.victoriagc.co.kr/,92.4,5.7,5.7/10,n,,,,,,candidates: 빅토리아 골프클럽/퍼블릭골프장 | 빅토리아골프클럽 클럽하우스/클럽하우스 | 빅토리아GC(여주) 전기차충전소/전기차충전소 | 국민 빅토리아골프클럽 ATM/현금인출기
gc-15dd2e00d6c7,오펠골프클럽,군위오펠GC,대구광역시 군위군 산성면 부흥로 227,address_place,대구광역시 군위군 산성면 부흥로 227,,군위오펠GC,퍼블릭골프장,대구광역시 군위군 산성면 부흥로 227,"https://map.naver.com/p/search/%EB%8C%80%EA%B5%AC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B5%B0%EC%9C%84%EA%B5%B0%20%EC%82%B0%EC%84%B1%EB%A9%B4%20%EB%B6%80%ED%9D%A5%EB%A1%9C%20227/place/33242218?c=15.00,0,0,0,dh&isCorrectAnswer=true&placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202606201753&locale=ko&svcName=map_pcv5&searchText=%EB%8C%80%EA%B5%AC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B5%B0%EC%9C%84%EA%B5%B0%20%EC%82%B0%EC%84%B1%EB%A9%B4%20%EB%B6%80%ED%9D%A5%EB%A1%9C%20227",high,n,,,,,,,n,,,,,,candidates: 군위오펠GC/퍼블릭골프장 | 군위오펠GC클럽하우스/클럽하우스 | 군위군 군위오펠골프클럽 전기차충전소/전기차충전소 | 군위오펠GC주차장/주차장
gc-9a7cb8103191,오크밸리회원제골프장,오크밸리CC,원주시 지정면 오크밸리1길 66,clubhouse_fallback,오크밸리CC,,월송리 보리밥,월송리CC 클럽하우스,원주시 지정면 오크밸리1길 66,,low,y,golf_category_not_found_used_clubhouse,,,,,,n,,,,,,no golf or clubhouse category in address places; name search direct detail panel
gc-7b4833dc4475,월송리 컨트리클럽,월송리CC,원주시 지정면 오크밸리2길 250,failed,원주시 지정면 오크밸리2길 250,,월송리CC,퍼블릭골프장,,,low,y,failed_to_read_place_detail,,,,,,,,,,,,failed_to_read_place_detail
gc-40bd08295048,Oak Hills컨트리클럽,오크힐스CC,강원 원주시 지정면 오크밸리2길 132,failed,강원 원주시 지정면 오크밸리2길 132,,오크힐스CC,회원제골프장,,,low,y,failed_to_read_place_detail,,,,,,,,,,,,failed_to_read_place_detail
gc-120fdf5098ca,센추리21컨트리클럽Ⅱ,센추리21CC,원주시 문막읍 궁말길 193,failed,원주시 문막읍 궁말길 193,,센추리21CC,회원제골프장,,,low,y,failed_to_read_place_detail,,,,,,,,,,,,failed_to_read_place_detail
gc-d2426892b3a5,센추리21퍼블릭,센추리21CC(퍼블릭),원주시 문막읍 궁말길 193,address_place,원주시 문막읍 궁말길 193,,센추리21CC,회원제골프장,강원 원주시 문막읍 궁말길 193,"https://map.naver.com/p/search/%EC%9B%90%EC%A3%BC%EC%8B%9C%20%EB%AC%B8%EB%A7%89%EC%9D%8D%20%EA%B6%81%EB%A7%90%EA%B8%B8%20193/place/11613511?c=14.00,0,0,0,dh&isCorrectAnswer=true&placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202606201817&locale=ko&svcName=map_pcv5&searchText=%EC%9B%90%EC%A3%BC%EC%8B%9C%20%EB%AC%B8%EB%A7%89%EC%9D%8D%20%EA%B6%81%EB%A7%90%EA%B8%B8%20193",high,n,,033-733-1000,http://www.century21cc.co.kr/,90.2,2.4,2.4/10,n,,,,,,"candidates: 센추리21CC/회원제골프장 | 센추리21CCI 클럽하우스/클럽하우스 | 센추리21CC레이크텔/콘도,리조트 | 센추리21CC제2주차장/주차장; retry 1 succeeded"
gc-e9127c84ddf1,소노펠리체 컨트리클럽 비발디파크 웨스트,소노펠리체CC 비발디파크 WEST,홍천군 서면 한치골길 200,failed,홍천군 서면 한치골길 200,,소노펠리체CC 비발디파크 WEST,퍼블릭골프장,,,low,y,failed_to_read_place_detail,,,,,,,,,,,,failed_to_read_place_detail
