id,name,address,query,source,candidate_title,candidate_address,candidate_phone,candidate_homepage_url,candidate_price_text,candidate_price_min,candidate_price_max,candidate_price_type,candidate_confidence,needs_review,reason,source_url,collected_at
gc-fa1419df8b1e,남춘천컨트리클럽,춘천시 신동면 오봉길 156,남춘천컨트리클럽,naver_scrape,남춘천CC,강원 춘천시 신동면 오봉길 156,033-269-3000,http://www.namchuncheon.co.kr/,가성비 한우 9800원,,,unknown,high,true,"골프장명·주소(시/군/구) 일치, phone/homepage/price 후보 수집; homepage ambiguous",https://search.naver.com/search.naver?where=nexearch&query=%EB%82%A8%EC%B6%98%EC%B2%9C%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,2026-06-19T05:06:23.871Z
gc-56c3be8c5a61,더플레이어스 골프클럽,춘천시 동산면 새술막길 438,더플레이어스 골프클럽,naver_search,,,,,,,,unknown,low,true,"NAVER API 미사용 — 이름·주소 불일치, 수동 검색 URL 확인 필요. source_url에서 수동 확인",https://search.naver.com/search.naver?where=nexearch&query=%EB%8D%94%ED%94%8C%EB%A0%88%EC%9D%B4%EC%96%B4%EC%8A%A4%20%EA%B3%A8%ED%94%84%ED%81%B4%EB%9F%BD,2026-06-19T04:20:12.804Z
gc-3eb069c5fb2a,동서울레스피아,원주시 지정면 신평석화로 236,동서울레스피아,naver_search,,,,,,,,unknown,low,true,"NAVER API 미사용 — 이름·주소 불일치, 수동 검색 URL 확인 필요. source_url에서 수동 확인",https://search.naver.com/search.naver?where=nexearch&query=%EB%8F%99%EC%84%9C%EC%9A%B8%EB%A0%88%EC%8A%A4%ED%94%BC%EC%95%84,2026-06-19T04:20:12.816Z
gc-18f9f355721d,라데나골프클럽,춘천시 신동면 칠전동길 72,라데나골프클럽,naver_scrape,라데나 골프클럽,강원 춘천시 신동면 칠전동길 72 라데나클럽,033-260-1114,https://www.ladena.co.kr,"1인 250,000원",250000,250000,reservation_price,high,true,"골프장명·주소(시/군/구) 일치, phone/homepage/price 후보 수집; homepage ambiguous; price lines: 3",https://search.naver.com/search.naver?where=nexearch&query=%EB%9D%BC%EB%8D%B0%EB%82%98%EA%B3%A8%ED%94%84%ED%81%B4%EB%9F%BD,2026-06-19T05:06:05.728Z
gc-a78a36b9d428,라비에벨컨트리클럽,춘천시 동산면 종자리로 436,라비에벨컨트리클럽,naver_search,,,,,,,,unknown,low,true,"NAVER API 미사용 — 이름·주소 불일치, 수동 검색 URL 확인 필요. source_url에서 수동 확인",https://search.naver.com/search.naver?where=nexearch&query=%EB%9D%BC%EB%B9%84%EC%97%90%EB%B2%A8%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,2026-06-19T04:20:12.806Z
gc-6b8298356e4e,로드힐스골프클럽,춘천시 동산면 종자리로 148-16,로드힐스골프클럽,naver_search,,,,,,,,unknown,low,true,"NAVER API 미사용 — 이름·주소 불일치, 수동 검색 URL 확인 필요. source_url에서 수동 확인",https://search.naver.com/search.naver?where=nexearch&query=%EB%A1%9C%EB%93%9C%ED%9E%90%EC%8A%A4%EA%B3%A8%ED%94%84%ED%81%B4%EB%9F%BD,2026-06-19T04:20:12.805Z
gc-d7a401a860d3,베어크리크 춘천,춘천시 신동면 김유정로 730,베어크리크 춘천,naver_search,,,,,,,,unknown,low,true,"NAVER API 미사용 — 이름·주소 불일치, 수동 검색 URL 확인 필요. source_url에서 수동 확인",https://search.naver.com/search.naver?where=nexearch&query=%EB%B2%A0%EC%96%B4%ED%81%AC%EB%A6%AC%ED%81%AC%20%EC%B6%98%EC%B2%9C,2026-06-19T04:20:12.807Z
gc-3b9faaf01e87,성문안 컨트리클럽,원주시 지정면 월송석화로 431,성문안 컨트리클럽,naver_search,,,,,,,,unknown,low,true,"NAVER API 미사용 — 이름·주소 불일치, 수동 검색 URL 확인 필요. source_url에서 수동 확인",https://search.naver.com/search.naver?where=nexearch&query=%EC%84%B1%EB%AC%B8%EC%95%88%20%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,2026-06-19T04:20:12.811Z
gc-920a66bac706,센추리21컨트리클럽,원주시 문막읍 궁말길 193,센추리21컨트리클럽,naver_search,,,,,,,,unknown,low,true,"NAVER API 미사용 — 이름·주소 불일치, 수동 검색 URL 확인 필요. source_url에서 수동 확인",https://search.naver.com/search.naver?where=nexearch&query=%EC%84%BC%EC%B6%94%EB%A6%AC21%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,2026-06-19T04:20:12.812Z
gc-120fdf5098ca,센추리21컨트리클럽Ⅱ,원주시 문막읍 궁말길 193,센추리21컨트리클럽Ⅱ,naver_search,,,,,,,,unknown,low,true,"NAVER API 미사용 — 이름·주소 불일치, 수동 검색 URL 확인 필요. source_url에서 수동 확인",https://search.naver.com/search.naver?where=nexearch&query=%EC%84%BC%EC%B6%94%EB%A6%AC21%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD%E2%85%A1,2026-06-19T04:20:12.813Z
gc-d2426892b3a5,센추리21퍼블릭,원주시 문막읍 궁말길 193,센추리21퍼블릭,naver_search,,,,,,,,unknown,low,true,"NAVER API 미사용 — 이름·주소 불일치, 수동 검색 URL 확인 필요. source_url에서 수동 확인",https://search.naver.com/search.naver?where=nexearch&query=%EC%84%BC%EC%B6%94%EB%A6%AC21%ED%8D%BC%EB%B8%94%EB%A6%AD,2026-06-19T04:20:12.813Z
