row_index,id,name,change_name_to,primary_search_term,fallback_search_term,existing_price_min,existing_price_max,will_crawl,reason
1,gc-9b37cfc9caa8,뉴스프링빌골프장(대중형),뉴스프링빌CC,뉴스프링빌,뉴스프링빌골프장(대중형),,,yes,included_in_csv_row_order
2,gc-1f14d0ca89b4,가산CC,가산CC,가산,가산CC,,,yes,included_in_csv_row_order
3,gc-a862e6d054f2,빅토리아일반대중골프장,빅토리아GC,빅토리아,빅토리아일반대중골프장,,,yes,included_in_csv_row_order
4,gc-15dd2e00d6c7,오펠골프클럽,군위오펠GC,군위오펠,오펠골프클럽,,,yes,included_in_csv_row_order
5,gc-9a7cb8103191,오크밸리회원제골프장,오크밸리CC,오크밸리,오크밸리회원제골프장,,,yes,included_in_csv_row_order
6,gc-7b4833dc4475,월송리 컨트리클럽,월송리CC,월송리,월송리 컨트리클럽,,,yes,included_in_csv_row_order
7,gc-40bd08295048,Oak Hills컨트리클럽,오크힐스CC,오크힐스,Oak Hills컨트리클럽,,,yes,included_in_csv_row_order
8,gc-120fdf5098ca,센추리21컨트리클럽Ⅱ,센추리21CC,센추리21,센추리21컨트리클럽Ⅱ,,,yes,included_in_csv_row_order
9,gc-d2426892b3a5,센추리21퍼블릭,센추리21CC(퍼블릭),센추리21,센추리21퍼블릭,,,yes,included_in_csv_row_order
10,gc-e9127c84ddf1,소노펠리체 컨트리클럽 비발디파크 웨스트,소노펠리체CC 비발디파크 WEST,소노펠리체CC 비발디파크 WEST,소노펠리체 컨트리클럽 비발디파크 웨스트,,,yes,included_in_csv_row_order
11,gc-56adaea8c265,소노펠리체 컨트리클럽 비발디파크 마운틴,소노펠리체CC 비발디파크 MOUNTAIN,소노펠리체CC 비발디파크 MOUNTAIN,소노펠리체 컨트리클럽 비발디파크 마운틴,,,yes,included_in_csv_row_order
12,gc-67d0f65e6b2d,설해원더 레전드 코스,설해원,설해원,설해원더 레전드 코스,,,yes,included_in_csv_row_order
13,gc-e684f84c8fa4,레이크사이드CC(대중제),레이크사이드CC(퍼블릭),레이크사이드,레이크사이드CC(대중제),,,yes,included_in_csv_row_order
14,gc-0c833ff6d95f,블루원용인CC(회원제),블루원용인CC(회원제),블루원용인,블루원용인CC(회원제),,,yes,included_in_csv_row_order
15,gc-bcdfbfe815c7,비에이비스타골프장(회원),비에이비스타CC(회원제),비에이비스타,비에이비스타골프장(회원),,,yes,included_in_csv_row_order
16,gc-9de1c40fef77,블랙스톤골프장(대중형),"블랙스톤CC(퍼블릭, 서코스)",블랙스톤,블랙스톤골프장(대중형),197000,258000,yes,included_in_csv_row_order_even_with_existing_price
17,gc-9d709ff43c33,몽베르 컨트리클럽(비회원제),몽베르CC(퍼블릭),몽베르,몽베르 컨트리클럽(비회원제),160000,280000,yes,included_in_csv_row_order_even_with_existing_price
18,gc-8a797fe2213a,금강컨트리클럽(회원),금강CC(회원제),금강,금강컨트리클럽(회원),,,yes,included_in_csv_row_order
19,gc-3f6cace5bf14,금강컨트리클럽(대중),"금강CC(퍼블릭, 동코스)",금강,금강컨트리클럽(대중),,,yes,included_in_csv_row_order
20,gc-6259847b3bba,스카이밸리골프장(비회원),스카이밸리CC(퍼블릭),스카이밸리,스카이밸리골프장(비회원),,,yes,included_in_csv_row_order
21,gc-6b7f785d4813,힐스카이C.C,힐스카이CC,힐스카이,힐스카이C.C,90000,145000,yes,included_in_csv_row_order_even_with_existing_price
22,gc-9adfe4aa2a07,안동리버힐C.C,안동리버힐CC,안동리버힐,안동리버힐C.C,90000,145000,yes,included_in_csv_row_order_even_with_existing_price
23,gc-1730ca5fe304,뉴스프링빌Ⅱ,뉴스프링빌2CC,뉴스프링빌2,뉴스프링빌Ⅱ,130000,200000,yes,included_in_csv_row_order_even_with_existing_price
24,gc-5607a255716b,파라지오C.C,파라지오CC,파라지오,파라지오C.C,,,yes,included_in_csv_row_order
25,gc-66dd9ef01893,파미힐스C.C,파미힐스CC,파미힐스,파미힐스C.C,,,yes,included_in_csv_row_order
26,gc-3d725200e925,울산골프장,울산CC,울산,울산골프장,110000,220000,yes,included_in_csv_row_order_even_with_existing_price
27,gc-dfddaf985536,순천CC,순천CC,순천,순천CC,50000,80000,yes,included_in_csv_row_order_even_with_existing_price
28,gc-a6fee0f415b7,화순CC,화순CC,화순,화순CC,80000,190000,yes,included_in_csv_row_order_even_with_existing_price
29,gc-7c044b23d1a4,에스지아름다운골프&리조트,SG아름다운골프&리조트,SG아름다운골프&,에스지아름다운골프&리조트,,,yes,included_in_csv_row_order
30,gc-41c9fac17790,㈜호텔롯데 스카이힐 부여CC,롯데스카이힐부여CC,롯데스카이힐부여,㈜호텔롯데 스카이힐 부여CC,135000,250000,yes,included_in_csv_row_order_even_with_existing_price
31,gc-98e3f829ab99,힐마루컨트리클럽 (대중제),힐마루CC(퍼블릭),힐마루,힐마루컨트리클럽 (대중제),100000,160000,yes,included_in_csv_row_order_even_with_existing_price
32,gc-43ee7ee149ba,오션힐스포항C.C (대중제),오션힐스 포항CC,오션힐스 포항,오션힐스포항C.C (대중제),130000,230000,yes,included_in_csv_row_order_even_with_existing_price
33,gc-7ef835cc44ce,엘리시안제주 (회원제),엘리시안제주(회원제),엘리시안제주,엘리시안제주 (회원제),,,yes,included_in_csv_row_order
34,gc-57d2cac587d2,에버리스CC (대중제),에버리스GR(퍼블릭),에버리스GR,에버리스CC (대중제),130000,160000,yes,included_in_csv_row_order_even_with_existing_price
35,gc-8c893fc692ea,캐슬렉스제주 (대중제),캐슬렉스제주(퍼블릭),캐슬렉스제주,캐슬렉스제주 (대중제),65000,80000,yes,included_in_csv_row_order_even_with_existing_price
36,gc-a34d1218714a,해비치CC (대중제),해비치CC(퍼블릭),해비치,해비치CC (대중제),110000,212000,yes,included_in_csv_row_order_even_with_existing_price
37,gc-ae905ec6b25f,소노펠리체 컨트리클럽 비발디파크 이스트,소노펠리체CC 비발디파크 EAST,소노펠리체CC 비발디파크 EAST,소노펠리체 컨트리클럽 비발디파크 이스트,190000,210000,yes,included_in_csv_row_order_even_with_existing_price
38,gc-ec8024eb7955,웰리힐리퍼블릭,웰리힐리CC,웰리힐리,웰리힐리퍼블릭,120000,200000,yes,included_in_csv_row_order_even_with_existing_price
39,gc-07b4c0178c39,블루헤런G.C,블루헤런GC,블루헤런,블루헤런G.C,,,yes,included_in_csv_row_order
40,gc-69fe3eb3e177,사우스케이프오너스클럽,사우스케이프CC,사우스케이프,사우스케이프오너스클럽,,,yes,included_in_csv_row_order
41,gc-cd6b63162f39,거창친환경대중골프장,거창CC,거창,거창친환경대중골프장,,,yes,included_in_csv_row_order
42,gc-a1d37ac059d4,경주C.C,경주CC,경주,경주C.C,140000,170000,yes,included_in_csv_row_order_even_with_existing_price
43,gc-130f7b88bcf3,우리G.C,우리GC,우리,우리G.C,40000,65000,yes,included_in_csv_row_order_even_with_existing_price
44,gc-29c208d17553,오션힐스청도G.C,오션힐스 청도GC,오션힐스 청도,오션힐스청도G.C,180000,230000,yes,included_in_csv_row_order_even_with_existing_price
45,gc-2159121d90f9,에콜리안광산골프장,광산CC,광산,에콜리안광산골프장,30000,40000,yes,included_in_csv_row_order_even_with_existing_price
46,gc-b0d53a657195,클럽72(바다),클럽72CC,클럽72,클럽72(바다),,,yes,included_in_csv_row_order
47,gc-a7bb99a4bcec,클럽72(하늘),클럽72CC(하늘),클럽72CC(하늘),클럽72(하늘),,,yes,included_in_csv_row_order
48,gc-d5a6f91a588a,다산베아채골프&리조트,다산베아채골프&리조트,다산베아채골프&,다산베아채골프&리조트,85000,185000,yes,included_in_csv_row_order_even_with_existing_price
49,gc-c8fc5eccf7b9,천지CC,함평천지CC,함평천지,천지CC,50000,85000,yes,included_in_csv_row_order_even_with_existing_price
50,gc-606fb4b33249,떼제베운영,올데이청주떼제베,올데이청주떼제베,떼제베운영,120000,150000,yes,included_in_csv_row_order_even_with_existing_price
51,gc-97d5d758dc31,블랙스톤cc,블랙스톤CC,블랙스톤,블랙스톤cc,250000,330000,yes,included_in_csv_row_order_even_with_existing_price
52,gc-ce976348ba8f,아난티클럽제주 (대중제),아난티클럽제주(퍼블릭),아난티클럽제주,아난티클럽제주 (대중제),,,yes,included_in_csv_row_order
53,gc-4d1cbdf3ceb2,롯데스카이힐제주 (대중제),롯데스카이힐제주CC,롯데스카이힐제주,롯데스카이힐제주 (대중제),110000,180000,yes,included_in_csv_row_order_even_with_existing_price
54,gc-ae299d74ffe4,여수시티파크골프&호텔,여수시티파크리조트골프장,여수시티파크리조트,여수시티파크골프&호텔,100000,140000,yes,included_in_csv_row_order_even_with_existing_price
