row_index,id,name,change_name_to,primary_search_term,fallback_search_term,used_search_term,matched_title,candidate_region,candidate_subregion,match_status,review_reason,suggested_change_name_to,screenshot_path,collected_at
11,gc-56adaea8c265,소노펠리체CC 비발디파크 MOUNTAIN,소노펠리체CC 비발디파크 MOUNTAIN,소노펠리체CC 비발디파크 MOUNTAIN,소노펠리체 컨트리클럽 비발디파크 마운틴,소노펠리체 컨트리클럽 비발디파크 마운틴,,,,,,,,2026-06-25T16:29:30.632Z
16,gc-9de1c40fef77,"블랙스톤CC(퍼블릭, 서코스)","블랙스톤CC(퍼블릭, 서코스)",블랙스톤,블랙스톤골프장(대중형),블랙스톤,블랙스톤,제주 제주도,제주시,,,,,2026-06-25T14:32:47.528Z
111,gc-d69bb1cfadc7,이스트힐컨트리클럽,이스트힐컨트리클럽,이스트힐,이스트힐C.C,이스트힐C.C,,,,,,,,2026-06-25T08:13:45.955Z
130,gc-dcb20414b48e,나주CC,나주CC,나주,나주CC,나주CC,,,,,,,,2026-06-25T08:22:17.681Z
132,gc-5085ddf672a6,코스모스링스(폐업),코스모스링스(폐업),코스모스링스(폐업),cosmos 1,cosmos 1,,,,,,,,2026-06-25T08:23:16.524Z
133,gc-3355d2573fd4,에콜리안영광CC,에콜리안영광CC,에콜리안영광,에콜리안영광골프장,에콜리안영광골프장,,,,,,,,2026-06-25T08:23:55.915Z
135,gc-14ba1ad9ac28,군산CC,군산CC,군산,군산CC,군산,군산(레귤러),,,,,,,2026-06-25T16:13:29.378Z
137,gc-236bf8a0310c,에스페란사GC,에스페란사GC,에스페란사,에스페란사GC,에스페란사GC,,,,,,,,2026-06-25T08:25:54.213Z
138,gc-6d34f609ed90,금과골프장,금과골프장,금과,금과골프장,금과골프장,,,,,,,,2026-06-25T08:26:33.813Z
139,gc-fd40b7bf3b76,순창CC,순창CC,순창,디케이레저,디케이레저,,,,,,,,2026-06-25T08:27:13.213Z
141,gc-7860808d29d1,테디밸리CC,테디밸리CC,테디밸리,테디밸리,테디밸리,,,,,,,,2026-06-25T08:28:56.651Z
142,gc-cf50ab88350d,제주힐CC(폐업),제주힐CC(폐업),제주힐CC(폐업),㈜그랜드부민 꿈드림목장,㈜그랜드부민 꿈드림목장,,,,,,,,2026-06-25T08:29:36.193Z
148,gc-25f812ff383a,계룡산골프클럽,계룡산골프클럽,계룡산,계룡산골프장,계룡산골프장,,,,,,,,2026-06-26T00:56:14.064Z
154,gc-ab79864b5bdf,모나크CC,모나크CC,모나크,모나크cc,모나크cc,,,,,,,,2026-06-26T01:23:35.966Z
164,gc-7c780d37c946,태인CC(18홀),태인CC(18홀),태인CC(18홀),태인CC,태인CC,,,,,,,,2026-06-26T02:11:36.949Z
166,gc-81f3ec25ee6f,에버리스GR(회원제),에버리스GR(회원제),에버리스GR,에버리스CC (회원제),에버리스CC (회원제),,,,,,,,2026-06-26T02:21:11.667Z
167,gc-404df8588434,아난티클럽제주(회원제),아난티클럽제주(회원제),아난티클럽제주,아난티클럽제주 (회원제),아난티클럽제주,아난티클럽,제주(구 세인트포) 제주,제주시,,,,,2026-06-26T02:26:19.892Z
236,gc-18640b625b94,올림픽 골프장,,올림픽,올림픽 골프장,올림픽 골프장,,,,,,,,2026-06-26T12:14:26.210Z
25,gc-66dd9ef01893,파미힐스CC,파미힐스CC,파미힐스,파미힐스C.C,파미힐스C.C,,,,,,,,2026-06-26T00:19:46.309Z
26,gc-3d725200e925,울산CC,울산CC,울산,울산골프장,울산골프장,,,,,,,,2026-06-26T00:23:29.049Z
27,gc-dfddaf985536,순천CC,순천CC,순천,순천CC,순천,순천(P9),,,ambiguous,multiple similar candidates,,,2026-06-25T14:48:36.950Z
40,gc-69fe3eb3e177,사우스케이프CC,사우스케이프CC,사우스케이프,사우스케이프오너스클럽,사우스케이프오너스클럽,,,,,,,,2026-06-25T00:54:38.205Z
41,gc-cd6b63162f39,거창CC,거창CC,거창,거창친환경대중골프장,거창,클럽디거창(P),경상북부,대구,ambiguous,multiple similar candidates,,,2026-06-25T00:55:10.131Z
,gc-8fbc2ee961a0,고양컨트리클럽,,,,,,,,,,,,
45,gc-2159121d90f9,광산CC,광산CC,광산,에콜리안광산골프장,에콜리안광산골프장,,,,,,,,2026-06-25T00:58:29.725Z
,gc-310ce4be2e54,레이크우드CC(퍼블릭),,,,,,,,,,,,
,gc-657d8f5d1426,렉스필드CC(퍼블릭),,,,,,,,,,,,
,gc-61ba4f976442,렉스필드CC(회원제),,,,,,,,,,,,
12,gc-67d0f65e6b2d,설해원,설해원,설해원,설해원더 레전드 코스,설해원더 레전드 코스,,,,,,,,2026-06-24T13:43:17.724Z
51,gc-97d5d758dc31,블랙스톤CC,블랙스톤CC,블랙스톤,블랙스톤cc,블랙스톤,블랙스톤,제주 제주도,제주시,,,,,2026-06-25T15:17:07.349Z
58,gc-11423b427515,용평리조트골프클럽,,용평리조트,용평리조트골프클럽,용평리조트골프클럽,,,,,,,,2026-06-25T01:10:07.583Z
59,gc-1e4b4a02117e,용평버치힐골프클럽,,용평버치힐,용평버치힐골프클럽,용평버치힐골프클럽,,,,,,,,2026-06-25T01:10:47.042Z
64,gc-0f218a599984,88CC,88CC,88,국가보훈부 88골프장,국가보훈부 88골프장,,,,,,,,2026-06-25T01:14:07.005Z
67,gc-4487ee52808c,코리아퍼블릭CC,코리아퍼블릭CC,코리아퍼블릭,코리아대중CC,코리아대중CC,,,,,,,,2026-06-25T01:17:06.094Z
70,gc-a80360466b97,123골프클럽,123골프클럽,123,1·2·3 골프장,1·2·3 골프장,,,,,,,,2026-06-25T01:18:59.245Z
77,gc-81becbdb274e,파주제이퍼블릭골프클럽,파주제이퍼블릭골프클럽,파주제이퍼블릭,파주 J-Public 골프장,파주 J-Public 골프장,,,,,,,,2026-06-25T01:23:31.823Z
80,gc-f2cf5d51eba9,레이크우드CC(회원제),레이크우드CC(회원제),레이크우드,레이크우드 골프장(회원제),레이크우드 골프장(회원제),,,,,,,,2026-06-25T01:25:16.398Z
88,gc-adc16ee54b54,안성CC,안성CC,안성,안성컨트리클럽,안성,안성,경기남부,안성,matched,,,,2026-06-25T01:26:44.052Z
99,gc-aa2c41b33610,아난티클럽서울,아난티클럽서울,아난티클럽서울,아난티클럽서울,아난티클럽서울,,,,,,,,2026-06-25T01:27:05.959Z
103,gc-60336c4fc30b,노벨컨트리클럽,노벨컨트리클럽,노벨,고성노벨컨트리클럽,노벨,고성노벨,경상남부,고성,ambiguous,multiple similar candidates,,,2026-06-25T02:04:12.763Z
107,gc-16c25d6f3f20,마우나오션CC,마우나오션CC,마우나오션,마우나오션블루,마우나오션,마우나오션,경상북부,경주,ambiguous,ambiguous_match,,,2026-06-25T02:05:51.001Z
108,gc-eb9124b06908,코오롱호텔 가든 골프장,코오롱호텔 가든 골프장,코오롱호텔 가든,가든골프클럽,가든골프클럽,,,,,,,,2026-06-25T02:06:30.583Z
,gc-014659dabae9,블랙스톤CC,,,,,,,,,,,,
104,gc-dd8a710bd41c,이스턴CC,이스턴CC,이스턴,청하이스턴C.C,청하이스턴C.C,,,,,,,,2026-06-25T02:04:51.690Z
110,gc-e67c48835b2a,선리치골프클럽,선리치골프클럽,선리치,선리치G.C,선리치G.C,,,,,,,,2026-06-25T08:13:06.520Z
126,gc-4906278997cc,사이언스대덕골프장,사이언스대덕골프장,사이언스대덕,대덕복지센터,대덕복지센터,,,,,,,,2026-06-25T08:19:39.874Z
,gc-ce976348ba8f,아난티클럽제주(퍼블릭),,,,,,,,,,,,
,gc-34f4d067cfc2,원더클럽 파주CC,,,,,,,,,,,,
,gc-7b483fb0f2d1,이지스카이 골프클럽,,,,,,,,,,,,
,gc-d569726d2503,일동레이크GC,,,,,,,,,,,,
,gc-a7bb99a4bcec,클럽72CC(하늘),,,,,,,,,,,,
127,gc-de756338755f,해라CC,해라CC,해라,해라컨트리클럽,해라컨트리클럽,,,,,,,,2026-06-25T08:20:19.257Z
198,gc-8322ca96ec3b,세이지우드CC 홍천,세이지우드CC 홍천,세이지우드CC 홍천,세이지우드CC홍천,세이지우드CC홍천,,,,,,,,2026-06-26T04:49:39.365Z
209,gc-2b5762bfc60c,알펜시아cc,알펜시아cc,알펜시아,알펜시아컨트리클럽,알펜시아,알펜시아CC,강원동부,평창,,,,,2026-06-26T05:35:58.297Z
237,gc-41b5c15f44da,일산스프링힐스 컨트리클럽,,일산스프링힐스,일산스프링힐스 컨트리클럽,일산스프링힐스,일산스프링힐스(P),경기북부,고양,,,,,2026-06-26T12:18:56.022Z
238,gc-1faa083d0616,한양파인컨트리클럽,,한양파인,한양파인컨트리클럽,한양파인,한양파인(P),경기북부,고양,,,,,2026-06-26T12:24:00.383Z
239,gc-210de13c89f8,남서울컨트리클럽,,남서울,남서울컨트리클럽,남서울컨트리클럽,,,,,,,,2026-06-26T12:27:58.991Z
240,gc-4731f8c98a6d,리베라컨트리클럽,,리베라,리베라컨트리클럽,리베라,리베라,경기남부,용인,,,,,2026-06-26T12:33:03.377Z
241,gc-7701abd77260,기흥컨트리클럽,,기흥,기흥컨트리클럽,기흥컨트리클럽,,,,,,,,2026-06-26T12:37:03.355Z
242,gc-ee03e5ddbe9f,라비돌컨트리클럽,,라비돌,라비돌컨트리클럽,라비돌,라비돌(P),경기남부,화성,,,,,2026-06-26T12:42:06.352Z
243,gc-5ec5b76d3c22,화성골프클럽,,화성,화성골프클럽,화성,화성(P),경기남부,화성,,,,,2026-06-26T12:46:36.104Z
244,gc-c77232b99bd6,링크나인골프클럽,,링크나인,링크나인골프클럽,링크나인,링크나인(P),경기남부,화성,,,,,2026-06-26T12:51:46.977Z
245,gc-24a9087d99d6,양주 컨트리클럽,,양주,양주 컨트리클럽,양주,양주,경기북부,남양주,,,,,2026-06-26T12:56:58.379Z
246,gc-7471c8142b1e,비전힐스CC,,비전힐스,비전힐스CC,비전힐스CC,,,,,,,,2026-06-26T13:00:55.044Z
247,gc-01a5e4501db9,해비치 컨트리클럽,,해비치,해비치 컨트리클럽,해비치,해비치,제주 제주,서귀포,,,,,2026-06-26T13:06:39.262Z
248,gc-29fa36946d15,남양주CC,,남양주,남양주CC,남양주,남양주(P),경기북부,남양주,,,,,2026-06-26T13:11:08.855Z
249,gc-5e74f5c1f4b5,제일컨트리클럽,,제일,제일컨트리클럽,제일컨트리클럽,,,,,,,,2026-06-26T13:15:04.390Z
250,gc-df2b984b36c9,솔트베이 골프클럽,,솔트베이,솔트베이 골프클럽,솔트베이,솔트베이(P),경기남부,시흥,,,,,2026-06-26T13:20:04.652Z
251,gc-d5533edff8e8,아세코밸리골프클럽,,아세코밸리,아세코밸리골프클럽,아세코밸리,아세코밸리(P),경기남부,시흥,,,,,2026-06-26T13:25:07.088Z
252,gc-962dc7cafd46,서서울 컨트리클럽,,서서울,서서울 컨트리클럽,서서울 컨트리클럽,,,,,,,,2026-06-26T13:29:02.193Z
253,gc-0ab02fc6c813,서원밸리 골프장,,서원밸리,서원밸리 골프장,서원밸리,서원밸리,경기북부,파주,,,,,2026-06-26T13:34:04.071Z
254,gc-fabeaa53a815,서원힐스 골프장,,서원힐스,서원힐스 골프장,서원힐스,서원힐스(P),경기북부,파주,,,,,2026-06-26T13:39:05.175Z
255,gc-d5cd483c8c94,노스팜 컨트리클럽,,노스팜,노스팜 컨트리클럽,노스팜,노스팜(P),경기북부,파주,,,,,2026-06-26T13:44:06.819Z
256,gc-d0e431ff250c,스마트KU 골프 파빌리온,,스마트KU 골프 파빌리온,스마트KU 골프 파빌리온,스마트KU 골프 파빌리온,,,,,,,,2026-06-26T14:08:44.247Z
257,gc-e04bb1d7bba9,남촌컨트리클럽,,남촌,남촌컨트리클럽,남촌컨트리클럽,,,,,,,,2026-06-26T14:12:24.255Z
258,gc-b37c66474de6,이스트밸리CC,,이스트밸리,이스트밸리CC,이스트밸리CC,,,,,,,,2026-06-26T14:16:09.942Z
259,gc-bed5fc0dc1f2,그린힐 컨트리클럽,,그린힐,그린힐 컨트리클럽,그린힐 컨트리클럽,,,,,,,,2026-06-26T14:19:49.443Z
260,gc-2fa514959418,강남300 컨트리클럽,,강남300,강남300 컨트리클럽,강남300,강남,경기남부,광주,,,,,2026-06-26T14:25:00.069Z
261,gc-4cbc2f4feecc,로제비앙GC,,로제비앙,로제비앙GC,로제비앙,로제비앙(P),경기남부,광주,,,,,2026-06-26T14:29:57.367Z
262,gc-14e8979016a9,곤지암GC,,곤지암,곤지암GC,곤지암GC,,,,,,,,2026-06-26T14:33:55.412Z
263,gc-f28133275bb9,중부컨트리클럽,,중부,중부컨트리클럽,중부컨트리클럽,,,,,,,,2026-06-26T14:37:50.738Z
264,gc-3c54aee76615,뉴서울컨트리클럽,,뉴서울,뉴서울컨트리클럽,뉴서울컨트리클럽,,,,,,,,2026-06-26T14:41:48.475Z
265,gc-3e570fca0614,캐슬렉스골프클럽,,캐슬렉스,캐슬렉스골프클럽,캐슬렉스,캐슬렉스,제주 제주,서귀포,,,,,2026-06-26T14:47:12.797Z
266,gc-9944c1872c71,안양컨트리클럽,,안양,안양컨트리클럽,안양컨트리클럽,,,,,,,,2026-06-26T14:51:11.544Z
267,gc-9bb0cbe01084,송추 컨트리클럽,,송추,송추 컨트리클럽,송추 컨트리클럽,,,,,,,,2026-06-26T14:55:10.097Z
268,gc-82563fee9804,에이치원 클럽,,에이치원 클럽,에이치원 클럽,에이치원 클럽,,,,,,,,2026-06-26T14:58:43.647Z
269,gc-eb40a22304aa,뉴스프링빌골프장,,뉴스프링빌,뉴스프링빌골프장,뉴스프링빌,뉴스프링빌,경기남부,이천,,,,,2026-06-26T15:03:39.515Z
270,gc-b046571c4182,더반GC,더반GC,더반,더반 골프클럽,더반 골프클럽,,,,,,,,2026-06-26T15:07:33.213Z
271,gc-085e92730123,웰링턴컨트리클럽,,웰링턴,웰링턴컨트리클럽,웰링턴컨트리클럽,,,,,,,,2026-06-26T15:11:31.748Z
272,gc-d76bd69feda5,더크로스비골프클럽,,더크로스비,더크로스비골프클럽,더크로스비,더크로스비(P),경기남부,이천,,,,,2026-06-26T15:16:33.236Z
273,gc-152613ee89f3,골프클럽Q,,골프클럽Q,골프클럽Q,골프클럽Q,골프클럽Q(P),경기남부,안성,,,,,2026-06-26T15:21:56.757Z
274,gc-0151ec2b5b3a,마에스트로 CC,,마에스트로,마에스트로 CC,마에스트로,마에스트로(P),경기남부,안성,,,,,2026-06-26T15:26:47.843Z
275,gc-2c8ffe1e182d,신안컨트리클럽,,신안,신안컨트리클럽,신안,신안(M),경기남부,안성,,,,,2026-06-26T15:31:53.688Z
276,gc-a026faeee8ac,윈체스트 골프클럽 대중,,윈체스트 골프클럽 대중,윈체스트 골프클럽 대중,윈체스트 골프클럽 대중,,,,,,,,2026-06-26T15:35:30.239Z
277,gc-5062dbcbfa1c,포웰CC 안성,,포웰CC 안성,포웰CC 안성,포웰CC 안성,,,,,,,,2026-06-26T15:39:05.445Z
278,gc-16fca0551d98,한림안성,,한림안성,한림안성,한림안성,한림안성(P),경기남부,안성,,,,,2026-06-26T15:44:22.518Z
279,gc-5495f8d48bf7,에덴블루 컨트리클럽,,에덴블루,에덴블루 컨트리클럽,에덴블루,에덴블루(P),경기남부,안성권,,,,,2026-06-26T15:49:56.786Z
280,gc-1f3e33adbac2,이글몬트CC,,이글몬트,이글몬트CC,이글몬트,이글몬트(P),경기남부,안성,,,,,2026-06-26T15:55:05.481Z
281,gc-b46ed64b80b6,필로스 골프클럽,,필로스,필로스 골프클럽,필로스,필로스(P),경기북부,포천,,,,,2026-06-26T16:00:26.732Z
282,gc-02352ab50684,일동레이크 골프클럽,,일동레이크,일동레이크 골프클럽,일동레이크 골프클럽,,,,,,,,2026-06-26T16:04:22.870Z
283,gc-f2158c0fa417,푸른솔 골프클럽 포천,,푸른솔 골프클럽 포천,푸른솔 골프클럽 포천,푸른솔 골프클럽 포천,,,,,,,,2026-06-26T16:07:57.938Z
284,gc-564e2ae6067a,포천힐스 컨트리클럽,,포천힐스,포천힐스 컨트리클럽,포천힐스,포천힐스(P),경기북부,포천,,,,,2026-06-26T16:13:18.158Z
285,gc-b7fd5ee009ca,포레스트힐 컨트리클럽,,포레스트힐,포레스트힐 컨트리클럽,포레스트힐,포레스트힐(P),경기북부,포천,,,,,2026-06-26T16:18:44.729Z
286,gc-7c76a7546834,샴발라 컨트리클럽,,샴발라,샴발라 컨트리클럽,샴발라,샴발라(P),경기북부,포천,,,,,2026-06-27T00:50:21.246Z
287,gc-81ecacc0ae41,라싸GC,라싸GC,라싸,라싸 골프클럽,라싸,라싸(P),경기북부,포천,,,,,2026-06-27T00:54:06.868Z
288,gc-7ef394db717b,힐마루 골프앤리조트 포천,힐마루 골프앤리조트 포천,힐마루 골프앤리조트 포천,힐마루 골프앤리조트 포천,힐마루 골프앤리조트 포천,,,,,,,,2026-06-27T00:57:30.290Z
289,gc-5ca66aa29c0b,양평TPC GC,,양평TPC,양평TPC GC,양평TPC,양평TPC(P),경기북부,양평,,,,,2026-06-27T01:02:01.846Z
290,gc-88f7a6754606,YJC골프클럽,,YJC,YJC골프클럽,YJC,YJC골프클럽(구,경기남부,여주,,,,,2026-06-27T01:05:56.096Z
291,gc-7e1dadf46eaa,소피아그린,,소피아그린,소피아그린,소피아그린,소피아그린(P),경기남부,여주,,,,,2026-06-27T01:11:48.158Z
