source_row_index,id,name,change_name_to,primary_search_term,fallback_search_term,used_search_term,search_attempt,matched_title,candidate_title,candidate_region,candidate_subregion,candidate_type,match_status,review_action,review_reason,suggested_change_name_to,weekday_sample_count,weekend_sample_count,weekday_price_min,weekday_price_max,weekend_price_min,weekend_price_max,price_min,price_max,overall_price_min,overall_price_max,success_day_count,no_price_day_count,manual_review_count,accept_price_day_count,price_scope,price_scope_summary,slot_load_complete,matched_region,source_name,last_collected_at,collected_at,detail_url
110,gc-e67c48835b2a,선리치골프클럽,선리치골프클럽,선리치,선리치G.C,선리치G.C,,,,,,,,manual_review,,,2,0,,,,,,,,,0,2,2,0,,,,,teescanner,2026-06-25T08:13:06.520Z,2026-06-25T08:13:06.520Z,
109,gc-881d18bae24f,강동디아너스CC,강동디아너스CC,강동디아너스,디아너스C.C,강동디아너스,primary,강동디아너스(구,강동디아너스(구,경상북부,경주,,ambiguous,manual_review,ambiguous_match,,2,0,,,,,,,,,0,2,2,0,,,,경상북부 > 경주,teescanner,2026-06-25T08:12:27.740Z,2026-06-25T08:12:27.740Z,
111,gc-d69bb1cfadc7,이스트힐컨트리클럽,이스트힐컨트리클럽,이스트힐,이스트힐C.C,이스트힐C.C,,,,,,,,manual_review,,,1,0,,,,,,,,,0,1,1,0,,,,,teescanner,2026-06-25T08:13:45.955Z,2026-06-25T08:13:45.955Z,
112,gc-bd2c2f813e31,애플밸리CC,애플밸리CC,애플밸리,애플밸리C.C,애플밸리,primary,애플밸리(P),애플밸리(P),경상북부,김천,P,ambiguous,manual_review,ambiguous_match,,1,0,,,,,,,,,0,1,1,0,,,,경상북부 > 김천,teescanner,2026-06-25T08:14:05.526Z,2026-06-25T08:14:05.526Z,
113,gc-1e3e002ab2ce,김천포도CC,김천포도CC,김천포도,포도C.C,포도C.C,,,,,,,,manual_review,,,1,0,,,,,,,,,0,1,1,0,,,,,teescanner,2026-06-25T08:14:45.023Z,2026-06-25T08:14:45.023Z,
114,gc-8894492ab1a6,남안동CC,남안동CC,남안동,남안동C.C,남안동,primary,남안동,남안동,경상북부,안동,,ambiguous,manual_review,ambiguous_match,,1,0,,,,,,,,,0,1,1,0,,,,경상북부 > 안동,teescanner,2026-06-25T08:15:04.781Z,2026-06-25T08:15:04.781Z,
115,gc-ddc7e02567ba,구미CC,구미CC,구미,구미C.C,구미,primary,골프존카운티구미(P),골프존카운티구미(P),경상북부,구미,P,ambiguous,manual_review,multiple similar candidates,,1,0,,,,,,,,,0,1,1,0,,,,경상북부 > 구미,teescanner,2026-06-25T08:15:24.444Z,2026-06-25T08:15:24.444Z,
116,gc-f7e7bf534d31,오션힐스 영천CC,오션힐스 영천CC,오션힐스 영천,영천C.C,영천C.C,,,,,,,,manual_review,,,1,0,,,,,,,,,0,1,1,0,,,,,teescanner,2026-06-25T08:16:03.739Z,2026-06-25T08:16:03.739Z,
117,gc-206bb0d5628c,시엘GC,시엘GC,시엘,시엘G.C,시엘,primary,시엘골프클럽(P),시엘골프클럽(P),경상북부,영천,P,ambiguous,manual_review,ambiguous_match,,1,0,,,,,,,,,0,1,1,0,,,,경상북부 > 영천,teescanner,2026-06-25T08:16:23.202Z,2026-06-25T08:16:23.202Z,
118,gc-77f7a5893fb0,문경GC,문경GC,문경,문경레저타운골프장,문경,primary,문경(P),문경(P),경상북부,문경,P,ambiguous,manual_review,ambiguous_match,,1,0,,,,,,,,,0,1,1,0,,,,경상북부 > 문경,teescanner,2026-06-25T08:16:42.472Z,2026-06-25T08:16:42.472Z,
119,gc-fe29a1584040,대구컨트리클럽,대구컨트리클럽,대구,대구C.C,대구,primary,전체,전체,경상북부,대구권,,ambiguous,manual_review,multiple similar candidates,,1,0,,,,,,,,,0,1,1,0,,,,경상북부 > 대구권,teescanner,2026-06-25T08:17:02.122Z,2026-06-25T08:17:02.122Z,
120,gc-c781c317ede3,오션비치 골프앤리조트,오션비치 골프앤리조트,오션비치 골프앤,오션비치C.C,오션비치C.C,,,,,,,,manual_review,,,1,0,,,,,,,,,0,1,1,0,,,,,teescanner,2026-06-25T08:17:41.421Z,2026-06-25T08:17:41.421Z,
121,gc-911caf331754,그레이스CC,그레이스CC,그레이스,그레이스C.C,그레이스,primary,그레이스(P),그레이스(P),경상북부,대구권,P,ambiguous,manual_review,ambiguous_match,,1,0,,,,,,,,,0,1,1,0,,,,경상북부 > 대구권,teescanner,2026-06-25T08:18:01.207Z,2026-06-25T08:18:01.207Z,
122,gc-0665bc0c6cce,고령유니밸리CC,고령유니밸리CC,고령유니밸리,유니밸리C.C,고령유니밸리,primary,고령유니밸리(P),고령유니밸리(P),경상북부,대구권,P,ambiguous,manual_review,ambiguous_match,,1,0,,,,,,,,,0,1,1,0,,,,경상북부 > 대구권,teescanner,2026-06-25T08:18:20.923Z,2026-06-25T08:18:20.923Z,
123,gc-e2e76f635c4a,세븐밸리CC,세븐밸리CC,세븐밸리,세븐밸리C.C,세븐밸리,primary,세븐밸리(P),세븐밸리(P),경상북부,칠곡,P,ambiguous,manual_review,ambiguous_match,,1,0,,,,,,,,,0,1,1,0,,,,경상북부 > 칠곡,teescanner,2026-06-25T08:18:40.645Z,2026-06-25T08:18:40.645Z,
124,gc-bc41a2489944,칠곡아이위시CC,칠곡아이위시CC,칠곡아이위시,칠곡아이위시C.C,칠곡아이위시,primary,칠곡아이위시(P)(카트불포함),칠곡아이위시(P)(카트불포함),경상북부,칠곡,,ambiguous,manual_review,ambiguous_match,,1,0,,,,,,,,,0,1,1,0,,,,경상북부 > 칠곡,teescanner,2026-06-25T08:19:00.384Z,2026-06-25T08:19:00.384Z,
126,gc-4906278997cc,사이언스대덕골프장,사이언스대덕골프장,사이언스대덕,대덕복지센터,대덕복지센터,,,,,,,,manual_review,,,2,0,,,,,,,,,0,2,2,0,,,,,teescanner,2026-06-25T08:19:39.874Z,2026-06-25T08:19:39.874Z,
,gc-7b483fb0f2d1,이지스카이 골프클럽,,,,,,,,,,,,manual_review,,,2,0,,,,,,,,,0,2,2,0,,,,,teescanner,,,
127,gc-de756338755f,해라CC,해라CC,해라,해라컨트리클럽,해라컨트리클럽,,,,,,,,manual_review,,,2,0,,,,,,,,,0,2,2,0,,,,,teescanner,2026-06-25T08:20:19.257Z,2026-06-25T08:20:19.257Z,
128,gc-9407b216837c,골프존카운티 더골프,골프존카운티 더골프,골프존카운티 더골프,더골프골프장,더골프골프장,,,,,,,,manual_review,,,1,0,,,,,,,,,0,1,1,0,,,,,teescanner,2026-06-25T08:20:58.900Z,2026-06-25T08:20:58.900Z,
129,gc-349a94f1be3f,세이지우드CC 여수경도,세이지우드CC 여수경도,세이지우드CC 여수경도,세이지우드 여수경도,세이지우드 여수경도,,,,,,,,manual_review,,,1,0,,,,,,,,,0,1,1,0,,,,,teescanner,2026-06-25T08:21:38.184Z,2026-06-25T08:21:38.184Z,
130,gc-dcb20414b48e,나주CC,나주CC,나주,나주CC,나주CC,,,,,,,,manual_review,,,1,0,,,,,,,,,0,1,1,0,,,,,teescanner,2026-06-25T08:22:17.681Z,2026-06-25T08:22:17.681Z,
131,gc-050aa8bd6c6f,파인비치,파인비치,파인비치,오시아노골프클럽,파인비치,primary,파인비치(P),파인비치(P),,,P,ambiguous,manual_review,ambiguous_match,,1,0,,,,,,,,,0,1,1,0,,,,,teescanner,2026-06-25T08:22:37.338Z,2026-06-25T08:22:37.338Z,
132,gc-5085ddf672a6,코스모스링스(폐업),코스모스링스(폐업),코스모스링스(폐업),cosmos 1,cosmos 1,,,,,,,,manual_review,,,1,0,,,,,,,,,0,1,1,0,,,,,teescanner,2026-06-25T08:23:16.524Z,2026-06-25T08:23:16.524Z,
133,gc-3355d2573fd4,에콜리안영광CC,에콜리안영광CC,에콜리안영광,에콜리안영광골프장,에콜리안영광골프장,,,,,,,,manual_review,,,1,0,,,,,,,,,0,1,1,0,,,,,teescanner,2026-06-25T08:23:55.915Z,2026-06-25T08:23:55.915Z,
134,gc-667fefd06c3f,푸른솔GC 장성,푸른솔GC 장성,푸른솔GC 장성,푸른솔 골프클럽,푸른솔 골프클럽,,,,,,,,manual_review,,,1,0,,,,,,,,,0,1,1,0,,,,,teescanner,2026-06-25T08:24:35.272Z,2026-06-25T08:24:35.272Z,
135,gc-14ba1ad9ac28,군산CC,군산CC,군산,군산CC,군산,primary,군산(레귤러),군산(레귤러),,,,ambiguous,manual_review,multiple similar candidates,,1,0,,,,,,,,,0,1,1,0,,,,,teescanner,2026-06-25T08:24:55.051Z,2026-06-25T08:24:55.051Z,
136,gc-7e17709a629a,익산컨트리클럽,익산컨트리클럽,익산,상떼힐CC,익산,primary,익산(P)(구,익산(P)(구,,,,ambiguous,manual_review,ambiguous_match,,1,0,,,,,,,,,0,1,1,0,,,,,teescanner,2026-06-25T08:25:14.732Z,2026-06-25T08:25:14.732Z,
137,gc-236bf8a0310c,에스페란사GC,에스페란사GC,에스페란사,에스페란사GC,에스페란사GC,,,,,,,,manual_review,,,1,0,,,,,,,,,0,1,1,0,,,,,teescanner,2026-06-25T08:25:54.213Z,2026-06-25T08:25:54.213Z,
138,gc-6d34f609ed90,금과골프장,금과골프장,금과,금과골프장,금과골프장,,,,,,,,manual_review,,,1,0,,,,,,,,,0,1,1,0,,,,,teescanner,2026-06-25T08:26:33.813Z,2026-06-25T08:26:33.813Z,
139,gc-fd40b7bf3b76,순창CC,순창CC,순창,디케이레저,디케이레저,,,,,,,,manual_review,,,1,0,,,,,,,,,0,1,1,0,,,,,teescanner,2026-06-25T08:27:13.213Z,2026-06-25T08:27:13.213Z,
140,gc-7d2ed71b8086,그린필드GC,그린필드GC,그린필드,그린필드GC,그린필드,,그린필드,그린필드,제주,제주시,,,accept_price,,,1,1,107000,137000,137000,167000,107000,167000,107000,167000,2,0,0,2,loaded_slots,loaded_slots,complete,제주 > 제주시,teescanner,2026-06-25T08:28:34.926Z,2026-06-25T08:28:34.926Z,https://www.teescanner.com/booking/detail?tab=teetime&golfclub_seq=77&roundDay=2026-06-29&entry_path=SC
