id,name,address,query,reason,source
gc-98e23645d4c7,휘닉스 컨트리클럽,평창군 봉평면 태기로 227-84,휘닉스 컨트리클럽 평창군,multiple_candidates,public_data
gc-716264430902,휘닉스대중골프장,평창군 봉평면 태기로 227-84,강원특별자치도 평창군 봉평면 태기로 227-84,no_result,public_data
gc-4cbc2f4feecc,로제비앙GC,경기도 광주시 곤지암읍 오항길 180,로제비앙GC 광주시,multiple_candidates,public_data
gc-9d709ff43c33,몽베르 컨트리클럽(비회원제),경기도 포천시 영북면 산정호수로 359-13,경기도 포천시 영북면 산정호수로 359-13,no_result,public_data
gc-f2927c01eff1,의령 리온컨트리클럽,의령군 칠곡면 지굴산로 101-33,의령 리온컨트리클럽 의령군,multiple_candidates,public_data
gc-bc41a2489944,칠곡아이위시C.C,경상북도 칠곡군 기산면 노석1길 49-112,칠곡아이위시C.C 칠곡군,multiple_candidates,public_data
gc-485bb35864fb,부산컨트리클럽,부산광역시 금정구 중앙대로2327번길 11,부산컨트리클럽 금정구,multiple_candidates,public_data
gc-80348568c7d7,기장동원로얄컨트리클럽,부산광역시 기장군 기장읍 반송로 1345-52,기장동원로얄컨트리클럽 기장군,multiple_candidates,public_data
gc-496303f3c77c,오렌지듄스 영종골프클럽,인천시 중구 운서동 2850-43번지 일원,오렌지듄스 영종골프클럽 인천시,multiple_candidates,public_data
gc-95d86b96417d,파인힐스CC,전남 순천시 주암면 송강사길 99,파인힐스CC 전남,multiple_candidates,public_data
gc-dcb20414b48e,나주CC,전남 나주시 공산면 상방신포길 154-32,나주CC 전남,multiple_candidates,public_data
gc-2042973e4c2d,나주힐스CC,전남 나주시 공산면 삼방신포길 160-27,나주힐스CC 전남,multiple_candidates,public_data
gc-2d39844d8485,보성에덴CC,전남 보성군 보성읍 쾌상리 1385,보성에덴CC 전남,multiple_candidates,public_data
gc-14ba1ad9ac28,군산CC,전북특별자치도 군산시 옥서면 남산군로 1685,군산CC 전북특별자치도,multiple_candidates,public_data
gc-46caa66a0c89,골드리버CC,공주시 의당면 신정말길 67-133(청룡리),골드리버CC 공주시,multiple_candidates,public_data
gc-b21ce78f76ca,골든베이골프&리조트,태안군 근흥면 정선포로 217,골든베이골프&리조트 태안군,multiple_candidates,public_data
gc-2abf3143e489,스톤비치컨트리클럽,태안군 근흥면 갈음이길 88,스톤비치컨트리클럽 태안군,multiple_candidates,public_data
gc-bf183cd699c7,로얄링스1,태안군 태안읍 반곡길 284,태안군 태안읍 반곡길 284,no_result,public_data
gc-dbaa28f7b44e,로얄링스2,태안군 태안읍 반곡길 284,태안군 태안읍 반곡길 284,no_result,public_data
gc-167a7f95d402,솔라고CC1,태안군 태안읍 소곳이길 92-234,태안군 태안읍 소곳이길 92-234,no_result,public_data
gc-d3a3acc83c4d,솔라고CC2,태안군 태안읍 소곳이길 92-234,태안군 태안읍 소곳이길 92-234,no_result,public_data
gc-81f36c789316,그랜드cc,청주시 청원군 오창읍 꽃화산길 14,그랜드cc 청주시,multiple_candidates,public_data
gc-ac8ec878e912,썬밸리cc,음성군 삼성면 법말길 49,썬밸리cc 음성군,multiple_candidates,public_data
gc-663ebcd52f5e,골드나인cc,청주시 청원구 낭성면 산성로 1520-17,골드나인cc 청주시,multiple_candidates,public_data
gc-e14661a32922,일레븐cc,충주시 앙성면 본평리 산 43-1,일레븐cc 충주시,multiple_candidates,public_data
gc-8d9ee33d1f22,킹스데일cc,충주시 주덕면 기업도시3로 2,킹스데일cc 충주시,multiple_candidates,public_data
gc-01d6a94bf335,청통골프장,경상북도 영천시 청통면 청통로 733,청통골프장 영천시,multiple_candidates,public_data
