id,name,region,city,address,query,source
gc-18f9f355721d,라데나골프클럽,강원,춘천시,춘천시 신동면 칠전동길 72,라데나골프클럽 춘천시 신동면 칠전동길 72,public_data
gc-669d8ad13333,엘리시안 강촌컨트리클럽,강원,춘천시,춘천시 남산면 북한강변길 688,엘리시안 강촌컨트리클럽 춘천시 남산면 북한강변길 688,public_data
gc-5acca8d60a68,제이드팰리스 골프클럽,강원,춘천시,춘천시 남산면 경춘로 212-30,제이드팰리스 골프클럽 춘천시 남산면 경춘로 212-30,public_data
gc-fa1419df8b1e,남춘천컨트리클럽,강원,춘천시,춘천시 신동면 오봉길 156,남춘천컨트리클럽 춘천시 신동면 오봉길 156,public_data
gc-3526f59318a4,휘슬링락컨트리클럽,강원,춘천시,춘천시 남산면 동촌로 501,휘슬링락컨트리클럽 춘천시 남산면 동촌로 501,public_data
gc-3ae54b5361c3,오너스골프클럽,강원,춘천시,춘천시 남산면 동촌로 667,오너스골프클럽 춘천시 남산면 동촌로 667,public_data
gc-9e436bbbf364,파가니카컨트리클럽,강원,춘천시,춘천시 남면 소주고개로 145-10,파가니카컨트리클럽 춘천시 남면 소주고개로 145-10,public_data
gc-56c3be8c5a61,더플레이어스 골프클럽,강원,춘천시,춘천시 동산면 새술막길 438,더플레이어스 골프클럽 춘천시 동산면 새술막길 438,public_data
gc-6b8298356e4e,로드힐스골프클럽,강원,춘천시,춘천시 동산면 종자리로 148-16,로드힐스골프클럽 춘천시 동산면 종자리로 148-16,public_data
gc-a78a36b9d428,라비에벨컨트리클럽,강원,춘천시,춘천시 동산면 종자리로 436,라비에벨컨트리클럽 춘천시 동산면 종자리로 436,public_data
gc-d7a401a860d3,베어크리크 춘천,강원,춘천시,춘천시 신동면 김유정로 730,베어크리크 춘천 춘천시 신동면 김유정로 730,public_data
gc-9a7cb8103191,오크밸리회원제골프장,강원,원주시,원주시 지정면 오크밸리1길 66,오크밸리회원제골프장 원주시 지정면 오크밸리1길 66,public_data
gc-7b4833dc4475,월송리 컨트리클럽,강원,원주시,원주시 지정면 오크밸리2길 250,월송리 컨트리클럽 원주시 지정면 오크밸리2길 250,public_data
