id,name,region,city,address,query,latitude,longitude,provider,confidence,matched_address,raw_place_name,status,note
gc-dd6fca373d1b,인서울27골프클럽,서울,강서구,서울특별시 강서구 오정로 443-198,서울특별시 강서구 오정로 443-198,37.5467197403361,126.795778721308,kakao,80,서울 강서구 오정로 443-198,,success,confidence=80; endpoint=https://dapi.kakao.com/v2/local/search/address.json; steps=1
gc-9a7ff16abcee,한원컨트리클럽,경기,용인시,경기도 용인시 처인구 남사읍 전나무골길2번길 94,경기도 용인시 처인구 남사읍 전나무골길2번길 94,37.157103731538,127.13056142746,kakao,80,경기 용인시 처인구 남사읍 전나무골길2번길 94,,success,confidence=80; endpoint=https://dapi.kakao.com/v2/local/search/address.json; steps=1
gc-897c73dbf41b,양지파인골프클럽,경기,용인시,경기도 용인시 처인구 양지면 남평로 112,경기도 용인시 처인구 양지면 남평로 112,37.210689138288,127.29364692962,kakao,80,경기 용인시 처인구 양지읍 남평로 112,,success,confidence=80; endpoint=https://dapi.kakao.com/v2/local/search/address.json; steps=1
gc-38b838344176,수원컨트리클럽,경기,용인시,경기도 용인시 기흥구 중부대로 495,경기도 용인시 기흥구 중부대로 495,37.2813343609608,127.120332640766,kakao,80,경기 용인시 기흥구 중부대로 495,,success,confidence=80; endpoint=https://dapi.kakao.com/v2/local/search/address.json; steps=1
gc-4af8a2f8ed32,플라자CC,경기,용인시,경기도 용인시 처인구 남사읍 봉무로 153번길 79,경기도 용인시 처인구 남사읍 봉무로 153번길 79,37.1336283949433,127.14698226012,kakao,80,경기 용인시 처인구 남사읍 봉무로153번길 79,,success,confidence=80; endpoint=https://dapi.kakao.com/v2/local/search/address.json; steps=1
gc-9da6f2a0f2d9,태광컨트리클럽(회원제),경기,용인시,경기도 용인시 기흥구 흥덕4로 77,경기도 용인시 기흥구 흥덕4로 77,37.2785734665911,127.089081801998,kakao,80,경기 용인시 기흥구 흥덕4로 77,,success,confidence=80; endpoint=https://dapi.kakao.com/v2/local/search/address.json; steps=1
gc-18f9f355721d,라데나골프클럽,강원,춘천시,춘천시 신동면 칠전동길 72,강원특별자치도 춘천시 신동면 칠전동길 72,37.8369429213366,127.715838891863,kakao,70+,강원특별자치도 춘천시 신동면 칠전동길 72,,skipped,cache hit
gc-669d8ad13333,엘리시안 강촌컨트리클럽,강원,춘천시,춘천시 남산면 북한강변길 688,강원특별자치도 춘천시 남산면 북한강변길 688,37.8300557977982,127.57878172946,kakao,70+,강원특별자치도 춘천시 남산면 북한강변길 688,,skipped,cache hit
gc-5acca8d60a68,제이드팰리스 골프클럽,강원,춘천시,춘천시 남산면 경춘로 212-30,강원특별자치도 춘천시 남산면 경춘로 212-30,37.8307797553449,127.548170460554,kakao,70+,강원특별자치도 춘천시 남산면 경춘로 212-30,,skipped,cache hit
gc-fa1419df8b1e,남춘천컨트리클럽,강원,춘천시,춘천시 신동면 오봉길 156,강원특별자치도 춘천시 신동면 오봉길 156,37.7855926209548,127.700960366465,kakao,70+,강원특별자치도 춘천시 신동면 오봉길 156,,skipped,cache hit
gc-3526f59318a4,휘슬링락컨트리클럽,강원,춘천시,춘천시 남산면 동촌로 501,강원특별자치도 춘천시 남산면 동촌로 501,37.7730612102808,127.669709976041,kakao,70+,강원특별자치도 춘천시 남산면 동촌로 501,,skipped,cache hit
gc-28ed803e0e26,유성컨트리클럽,충청,대전,대전 유성구 현충원로 200(덕명동 215-7번지),대전 유성구 현충원로 200,36.3537342042459,127.290313578278,kakao,80,대전 유성구 현충원로 200,,success,confidence=80; endpoint=https://dapi.kakao.com/v2/local/search/address.json; steps=1
gc-4906278997cc,대덕복지센터,충청,대전,대전 유성구 유성대로 1689번길 69(전민동 463번지),대전 유성구 유성대로 1689번길 69,36.4039896147136,127.395094219166,kakao,80,대전 유성구 유성대로1689번길 69,,success,confidence=80; endpoint=https://dapi.kakao.com/v2/local/search/address.json; steps=1
gc-c9369c96907d,금실대덕밸리CC,충청,대전,대전 유성구 테크노중앙로 210(용산동 676번지),대전 유성구 테크노중앙로 210,36.4207308307018,127.403448694155,kakao,80,대전 유성구 테크노중앙로 210,,success,confidence=80; endpoint=https://dapi.kakao.com/v2/local/search/address.json; steps=1
gc-2b09ff38b37c,세종에머슨컨트리클럽,충청,전의면,세종특별자치시 전의면 운주산로 1510,세종특별자치시 전의면 운주산로 1510,36.6969492070113,127.185332809642,kakao,80,세종특별자치시 전의면 운주산로 1510,,success,confidence=80; endpoint=https://dapi.kakao.com/v2/local/search/address.json; steps=1
gc-dc3aed15fe4c,건설공제조합세종필드골프클럽,충청,정안세종로,세종특별자치시 정안세종로  1569,세종특별자치시 정안세종로 1569,36.5385858687258,127.261911994898,kakao,80,세종특별자치시 정안세종로 1569,,success,confidence=80; endpoint=https://dapi.kakao.com/v2/local/search/address.json; steps=1
gc-abff7021616b,빛고을컨트리클럽,전라,남구,광주광역시 남구 효우로 153(노대동),광주광역시 남구 효우로 153,35.1003327130013,126.899115799239,kakao,80,광주 남구 효우로 153,,success,confidence=80; endpoint=https://dapi.kakao.com/v2/local/search/address.json; steps=1
