id,name,region,city,address,latitude,longitude,phone,homepage_url,booking_url,hole_count,course_type,weekday_green_fee_min,weekend_green_fee_min,caddie_fee,cart_fee,night_round,no_caddie,two_player_allowed,resort,tags,image_url,description,business_status,source,updated_at,created_at
gc-18f9f355721d,라데나골프클럽,강원,춘천시,춘천시 신동면 칠전동길 72,37.8369429213366,127.715838891863,,,,27,회원제,,,,,false,false,false,false,{},,라데나골프클럽은(는) 강원 지역의 회원제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-669d8ad13333,엘리시안 강촌컨트리클럽,강원,춘천시,춘천시 남산면 북한강변길 688,37.8300557977982,127.57878172946,,,,27,회원제,,,,,false,false,false,false,{},,엘리시안 강촌컨트리클럽은(는) 강원 지역의 회원제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-5acca8d60a68,제이드팰리스 골프클럽,강원,춘천시,춘천시 남산면 경춘로 212-30,37.8307797553449,127.548170460554,,,,18,회원제,,,,,false,false,false,false,{},,제이드팰리스 골프클럽은(는) 강원 지역의 회원제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-fa1419df8b1e,남춘천컨트리클럽,강원,춘천시,춘천시 신동면 오봉길 156,37.7855926209548,127.700960366465,,,,18,대중제,,,,,false,false,false,false,{},,남춘천컨트리클럽은(는) 강원 지역의 대중제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-3526f59318a4,휘슬링락컨트리클럽,강원,춘천시,춘천시 남산면 동촌로 501,37.7730612102808,127.669709976041,,,,27,회원제,,,,,false,false,false,false,{},,휘슬링락컨트리클럽은(는) 강원 지역의 회원제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-3ae54b5361c3,오너스골프클럽,강원,춘천시,춘천시 남산면 동촌로 667,37.7721785570099,127.654200050879,,,,18,대중제,,,,,false,false,false,false,{},,오너스골프클럽은(는) 강원 지역의 대중제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-9e436bbbf364,파가니카컨트리클럽,강원,춘천시,춘천시 남면 소주고개로 145-10,37.7497160475065,127.619928617296,,,,18,대중제,,,,,false,false,false,false,{},,파가니카컨트리클럽은(는) 강원 지역의 대중제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-56c3be8c5a61,더플레이어스 골프클럽,강원,춘천시,춘천시 동산면 새술막길 438,37.7776204120147,127.750533991715,,,,27,대중제,,,,,false,false,false,false,{},,더플레이어스 골프클럽은(는) 강원 지역의 대중제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-6b8298356e4e,로드힐스골프클럽,강원,춘천시,춘천시 동산면 종자리로 148-16,37.747575327588,127.725551235643,,,,27,대중제,,,,,false,false,false,false,{},,로드힐스골프클럽은(는) 강원 지역의 대중제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-a78a36b9d428,라비에벨컨트리클럽,강원,춘천시,춘천시 동산면 종자리로 436,37.7411958192197,127.757369977231,,,,36,대중제,,,,,false,false,false,false,{},,라비에벨컨트리클럽은(는) 강원 지역의 대중제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
