reason,candidate_name,candidate_address,source,conflicting_values,suggested_action
duplicate_id_collision,서경타니CC,사천시 곤양면 흥신로 210,ministry_national_golf_courses,"baseId=gc-a043ad4dfcf6, assigned=gc-a043ad4dfcf6-2",imported_with_suffix_id
duplicate_id_collision,가야컨트리클럽,김해시 인제로 495,ministry_national_golf_courses,"baseId=gc-61025f47372c, assigned=gc-61025f47372c-2",imported_with_suffix_id
duplicate_id_collision,힐마루컨트리클럽,창녕군 장마면 영산계성로 469-195,ministry_national_golf_courses,"baseId=gc-7f189b884e86, assigned=gc-7f189b884e86-2",imported_with_suffix_id
duplicate_id_collision,오션힐스포항C.C,경상북도 포항시 북구 송라면 대전길 7,ministry_national_golf_courses,"baseId=gc-a4a31193651d, assigned=gc-a4a31193651d-2",imported_with_suffix_id
duplicate_id_collision,서라벌G.C,경상북도 경주시 외동읍 내외로 577-189,ministry_national_golf_courses,"baseId=gc-28ff72e3fac8, assigned=gc-28ff72e3fac8-2",imported_with_suffix_id
duplicate_id_collision,엠스클럽의성,경상북도 의성군 봉양면 농공마전길 125-78,ministry_national_golf_courses,"baseId=gc-783a937fe067, assigned=gc-783a937fe067-2",imported_with_suffix_id
duplicate_id_collision,골드레이크CC,전남 나주시 남평읍 나주호로 442-129,ministry_national_golf_courses,"baseId=gc-c605dfd13df5, assigned=gc-c605dfd13df5-2",imported_with_suffix_id
duplicate_id_collision,해피니스CC,전남 나주시 다도면 다도로 171-60,ministry_national_golf_courses,"baseId=gc-3be94ce769f8, assigned=gc-3be94ce769f8-2",imported_with_suffix_id
duplicate_id_collision,태인CC,전북특별자치도 정읍시 태인면 상증길 28,ministry_national_golf_courses,"baseId=gc-7c780d37c946, assigned=gc-7c780d37c946-2",imported_with_suffix_id
duplicate_id_collision,엘리시안제주,제주특별자치도 제주시 평화로 1738-116,ministry_national_golf_courses,"baseId=gc-b4648629edca, assigned=gc-b4648629edca-2",imported_with_suffix_id
duplicate_id_collision,에버리스CC,제주특별자치도 제주시 평화로 1693-75,ministry_national_golf_courses,"baseId=gc-89d4c7dacba1, assigned=gc-89d4c7dacba1-2",imported_with_suffix_id
duplicate_id_collision,아난티클럽제주,제주특별자치도 제주시 선유로 445-55,ministry_national_golf_courses,"baseId=gc-0731682e569e, assigned=gc-0731682e569e-2",imported_with_suffix_id
duplicate_id_collision,블랙스톤제주,제주특별자치도 제주시 한창로 925-122,ministry_national_golf_courses,"baseId=gc-74de2175f831, assigned=gc-74de2175f831-2",imported_with_suffix_id
duplicate_id_collision,캐슬렉스제주,제주특별자치도 서귀포시 안덕면 평화로 1241,ministry_national_golf_courses,"baseId=gc-b0bf7e6858f0, assigned=gc-b0bf7e6858f0-2",imported_with_suffix_id
duplicate_id_collision,해비치CC,제주특별자치도 서귀포시 남원읍 원님로 399번길 319,ministry_national_golf_courses,"baseId=gc-0d15e5952df9, assigned=gc-0d15e5952df9-2",imported_with_suffix_id
duplicate_id_collision,롯데스카이힐제주,제주특별자치도 서귀포시 상예로 530,ministry_national_golf_courses,"baseId=gc-557d7e73f166, assigned=gc-557d7e73f166-2",imported_with_suffix_id
duplicate_id_collision,사이프러스골프,제주특별자치도 서귀포시 번영로 2300,ministry_national_golf_courses,"baseId=gc-96113ac3ce1f, assigned=gc-96113ac3ce1f-2",imported_with_suffix_id
duplicate_id_collision,나인브릿지,제주특별자치도 서귀포시 안덕면 광평로 34-156,ministry_national_golf_courses,"baseId=gc-7934a4e2a1b8, assigned=gc-7934a4e2a1b8-2",imported_with_suffix_id
duplicate_id_collision,SK핀크스,제주특별자치도 서귀포시 안덕면 산록남로 863,ministry_national_golf_courses,"baseId=gc-79bfb62318c4, assigned=gc-79bfb62318c4-2",imported_with_suffix_id
duplicate_id_collision,시그너스cc,충주시 앙성면 중방곡길 57-44,ministry_national_golf_courses,"baseId=gc-1ce1b36ed2da, assigned=gc-1ce1b36ed2da-2",imported_with_suffix_id
