type,name,address,original_id,decision,course_type,hole_count,note
ambiguous_duplicate,서경타니CC,사천시 곤양면 흥신로 210,gc-a043ad4dfcf6|gc-a043ad4dfcf6-2,merge_expanded_holes,대중제,36,"동일 course_type(대중제) — 홀수 27+9=36 병합; removed=gc-a043ad4dfcf6(27홀), gc-a043ad4dfcf6-2(9홀)"
ambiguous_duplicate,가야컨트리클럽 (회원제),김해시 인제로 495,gc-61025f47372c,keep_separate_membership_public,회원제,45,회원제/대중제 분리 — suffix 추가 후 각각 유지
ambiguous_duplicate,가야컨트리클럽 (대중제),김해시 인제로 495,gc-61025f47372c-2,keep_separate_membership_public,대중제,9,회원제/대중제 분리 — suffix 추가 후 각각 유지
ambiguous_duplicate,힐마루컨트리클럽 (회원제),창녕군 장마면 영산계성로 469-195,gc-7f189b884e86,keep_separate_membership_public,회원제,18,회원제/대중제 분리 — suffix 추가 후 각각 유지
ambiguous_duplicate,힐마루컨트리클럽 (대중제),창녕군 장마면 영산계성로 469-195,gc-7f189b884e86-2,keep_separate_membership_public,대중제,18,회원제/대중제 분리 — suffix 추가 후 각각 유지
ambiguous_duplicate,오션힐스포항C.C (회원제),경상북도 포항시 북구 송라면 대전길 7,gc-a4a31193651d,keep_separate_membership_public,회원제,18,회원제/대중제 분리 — suffix 추가 후 각각 유지
ambiguous_duplicate,오션힐스포항C.C (대중제),경상북도 포항시 북구 송라면 대전길 7,gc-a4a31193651d-2,keep_separate_membership_public,대중제,9,회원제/대중제 분리 — suffix 추가 후 각각 유지
ambiguous_duplicate,서라벌G.C,경상북도 경주시 외동읍 내외로 577-189,gc-28ff72e3fac8|gc-28ff72e3fac8-2,merge_expanded_holes,대중제,45,"동일 course_type(대중제) — 홀수 36+9=45 병합; removed=gc-28ff72e3fac8(36홀), gc-28ff72e3fac8-2(9홀)"
ambiguous_duplicate,엠스클럽의성,경상북도 의성군 봉양면 농공마전길 125-78,gc-783a937fe067|gc-783a937fe067-2,merge_expanded_holes,대중제,27,"동일 course_type(대중제) — 홀수 18+9=27 병합; removed=gc-783a937fe067(18홀), gc-783a937fe067-2(9홀)"
ambiguous_duplicate,골드레이크CC (대중제),전남 나주시 남평읍 나주호로 442-129,gc-c605dfd13df5,keep_separate_membership_public,대중제,18,회원제/대중제 분리 — suffix 추가 후 각각 유지
