slug,title,output_path,type
near-seoul,서울 근교 골프장,public/seo-images/collections/near-seoul.png,collection
public,대중제 골프장,public/seo-images/collections/public.png,collection
baekdori,백돌이 골프장,public/seo-images/collections/baekdori.png,collection
beginner,초보자 골프장,public/seo-images/collections/beginner.png,collection
par3,파3 골프장,public/seo-images/collections/par3.png,collection
nine-hole,나인홀 골프장,public/seo-images/collections/nine-hole.png,collection
budget,저렴한 골프장,public/seo-images/collections/budget.png,collection
near-seoul-public,서울 근교 대중제 골프장,public/seo-images/collections/near-seoul-public.png,collection
near-seoul-baekdori,서울 근교 백돌이 골프장,public/seo-images/collections/near-seoul-baekdori.png,collection
near-seoul-beginner,서울 근교 초보자 골프장,public/seo-images/collections/near-seoul-beginner.png,collection
near-seoul-budget,서울 근교 저렴한 골프장,public/seo-images/collections/near-seoul-budget.png,collection
near-seoul-nine-hole,서울 근교 나인홀 골프장,public/seo-images/collections/near-seoul-nine-hole.png,collection
near-seoul-par3,서울 근교 파3 골프장,public/seo-images/collections/near-seoul-par3.png,collection
seoul,서울 골프장,public/seo-images/regions/seoul.png,region
gyeonggi,경기 골프장,public/seo-images/regions/gyeonggi.png,region
incheon,인천 골프장,public/seo-images/regions/incheon.png,region
gangwon,강원 골프장,public/seo-images/regions/gangwon.png,region
chungcheong,충청 골프장,public/seo-images/regions/chungcheong.png,region
jeolla,전라 골프장,public/seo-images/regions/jeolla.png,region
gyeongsang,경상 골프장,public/seo-images/regions/gyeongsang.png,region
jeju,제주 골프장,public/seo-images/regions/jeju.png,region
busan,부산 골프장,public/seo-images/regions/busan.png,region
gc-9b37cfc9caa8,뉴스프링빌CC,public/seo-images/courses/gc-9b37cfc9caa8.png,course
gc-1f14d0ca89b4,가산CC,public/seo-images/courses/gc-1f14d0ca89b4.png,course
gc-a862e6d054f2,빅토리아GC,public/seo-images/courses/gc-a862e6d054f2.png,course
gc-15dd2e00d6c7,군위오펠GC,public/seo-images/courses/gc-15dd2e00d6c7.png,course
gc-9a7cb8103191,오크밸리CC,public/seo-images/courses/gc-9a7cb8103191.png,course
gc-7b4833dc4475,월송리CC,public/seo-images/courses/gc-7b4833dc4475.png,course
gc-40bd08295048,오크힐스CC,public/seo-images/courses/gc-40bd08295048.png,course
gc-120fdf5098ca,센추리21CC,public/seo-images/courses/gc-120fdf5098ca.png,course
gc-d2426892b3a5,센추리21CC(퍼블릭),public/seo-images/courses/gc-d2426892b3a5.png,course
gc-e9127c84ddf1,소노펠리체CC 비발디파크 WEST,public/seo-images/courses/gc-e9127c84ddf1.png,course
